"sample_ID" "host_taxonomy_class" "host_taxonomy_order" "host_taxonomy_family" "host_taxonomy_genus" "host_taxonomy_species" "sample_type" "captive_wild" "country" "latitude" "longitude" "habitat" "habitat_detail" "habitat_detail_1" "habitat_detail_2" "diet" "diet_vertebrate" "diet_invertebrate" "diet_fruit" "diet_flowers_nectar_pollen" "diet_leaves_branches_bark_buds" "diet_seeds" "diet_grass_waterplants" "diet_roots_tubers" "collection_date" "sample_ID_2" "ENA_Id" "TimeTree_returned" "SampleID" "Diet" "Order" "Time_Tree_curated" "Sample_ID"
"2" "X101.Horse" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_caballus" "feces" "captive" "Austria" 48.783333 15.066667 "terrestrial habitat" "grassland" "pasture" "pasture" "herbivore" "no" "no" "no" "no" "no" "yes" "yes" "no" 40803 "101_Horse" "ERR2860880" "Equus_caballus" "101_Horse" "herbivore" "Perissodactyla" "Equus_caballus" "X101.Horse"
"3" "X102.Kulan" "Mammalia" "Perissodactyla" "Equidae" "Equus" "Equus_hemionus" "feces" "wild" "Mongolia" 43.707594 98.349609 "terrestrial habitat" "grassland" "steppe" "steppe" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "no" 40804 "102_Kulan" "ERR2860825" "Equus_hemionus" "102_Kulan" "herbivore" "Perissodactyla" "Equus_hemionus" "X102.Kulan"
"4" "X109.Red.Fox" "Mammalia" "Carnivora" "Canidae" "Vulpes" "Vulpes_vulpes" "feces" "wild" "Austria" 48.20833 16.373064 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "omnivore" "yes" "yes" "yes" "no" "no" "no" "no" "no" 40870 "109_Red_Fox" "ERR2860822" "Vulpes_vulpes" "109_Red_Fox" "omnivore" "Carnivora" "Vulpes_vulpes" "X109.Red.Fox"
"5" "X110.Noctule" "Mammalia" "Chiroptera" "Vespertilionidae" "Nyctalus" "Nyctalus_noctula" "gut" "wild" "Hungary" 47.5 19.05 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "no" "yes" "no" "no" "no" "no" "no" "no" 40926 "110_Noctule" "ERR2860888" "Nyctalus_noctula" "110_Noctule" "carnivore" "Chiroptera" "Nyctalus_noctula" "X110.Noctule"
"6" "X111.West.European.Hedgehog" "Mammalia" "Insectivora" "Erinaceidae" "Erinaceus" "Erinaceus_europaeus" "feces" "wild" "Hungary" 47.5 19.05 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "carnivore" "yes" "yes" "no" "no" "no" "no" "no" "no" 40780 "111_West_European_Hedgehog" "ERR2860884" "Erinaceus_europaeus" "111_West_European_Hedgehog" "carnivore" "Insectivora" "Erinaceus_europaeus" "X111.West.European.Hedgehog"
"7" "X122.Wild.Boar" "Mammalia" "Artiodactyla" "Suidae" "Sus" "Sus_scrofa" "feces" "wild" "Austria" 47.84637 16.52796 "terrestrial habitat" "woodland" "forest" "forest" "omnivore" "yes" "yes" "yes" "no" "yes" "yes" "yes" "yes" 40786 "122_Wild_Boar" "ERR2860894" "Sus_scrofa" "122_Wild_Boar" "omnivore" "Cetartiodactyla" "Sus_scrofa" "X122.Wild.Boar"
"8" "X123.Alpine.Chamois" "Mammalia" "Artiodactyla" "Bovidae" "Rupicapra" "Rupicapra_rupicapra" "feces" "wild" "Austria" 47.04266 12.89106 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 40777 "123_Alpine_Chamois" "ERR2860876" "Rupicapra_rupicapra" "123_Alpine_Chamois" "herbivore" "Cetartiodactyla" "Rupicapra_rupicapra" "X123.Alpine.Chamois"
"10" "X127.Alpine.Marmot" "Mammalia" "Rodentia" "Sciuridae" "Marmota" "Marmota_marmota" "feces" "wild" "Austria" 47.026706 12.789994 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "yes" "no" "no" "yes" "yes" 40779 "127_Alpine_Marmot" "ERR2860844" "Marmota_marmota" "127_Alpine_Marmot" "herbivore" "Rodentia" "Marmota_marmota" "X127.Alpine.Marmot"
"11" "X128.Alpine.Marmot" "Mammalia" "Rodentia" "Sciuridae" "Marmota" "Marmota_marmota" "feces" "wild" "Austria" 47.026706 12.789994 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "yes" "no" "no" "yes" "yes" 40814 "128_Alpine_Marmot" "ERR2860846" "Marmota_marmota" "128_Alpine_Marmot" "herbivore" "Rodentia" "Marmota_marmota" "X128.Alpine.Marmot"
"12" "X129.Alpine.Ibex" "Mammalia" "Artiodactyla" "Bovidae" "Capra" "Capra_ibex" "feces" "wild" "Austria" 47.066667 12.783333 "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "terrestrial habitat" "herbivore" "no" "no" "no" "no" "yes" "no" "yes" "yes" 40812 "129_Alpine_Ibex" "ERR2860849" "Capra_ibex" "129_Alpine_Ibex" "herbivore" "Cetartiodactyla" "Capra_ibex" "X129.Alpine.Ibex"
