	simpson
11212.AC673	0.9732913498262904
11212.AC674	0.9725354889162161
11212.AC679	0.9723701320153169
11212.AC680	0.9732325755461521
11212.AC683	0.9756820035323737
11212.AC684	0.970616843959217
11212.AC685	0.9777282162893509
11212.AC691	0.9765996712190437
11212.AC693	0.9784107868554676
11212.AC711	0.968026199917361
11212.Ptr15	0.9774138330593491
11212.Ptr16	0.983343802912877
11212.Ptr17	0.97947748087124
11212.Ptr3	0.9795225280040708
11212.Ptr4	0.8662629912361237
11212.Ptr5	0.984422251784677
11212.Ptr6	0.9642834222014912
11212.Ptr9	0.984128222600683
11212.JB35	0.9676827845597205
11212.JB8	0.97509820531355
11212.APF108	0.9671358287420035
11212.APF109	0.9283320234032083
11212.APF110	0.9791793493213838
11212.APF113	0.9429476484864143
11212.APF115	0.9562855443869084
11212.APF116	0.9259662205672508
11212.APX.37	0.9820274957127318
11212.APX19	0.9794407173617843
11212.APX21	0.9791615198082144
11212.APX38	0.9829839780917885
11212.JB19	0.9872472040305744
11212.JB26	0.9754600813175694
11212.BWC2339	0.9828810244869823
11212.BWC2341	0.9835852902571769
11212.BWC2342	0.9818038378816014
11212.Apalw10	0.975355313204786
11212.Apalw19	0.9841020305724871
11212.Apalw20	0.9857113413651608
11212.Apalw23	0.9671910528978382
11212.Apalw8	0.9517230035234984
11212.Apalw9	0.9760566599838864
11212.JB30	0.9765053956958687
11212.JB31	0.9827825677062942
11212.JB4	0.9899364626364209
11212.ERUB.108M	0.9707717871621588
11212.ERUB.13M	0.9676771832524859
11212.ERUB.14M	0.9679320032858373
11212.ERUB.21M	0.9682433886330937
11212.ERUB.33M	0.9320721976945887
11212.ERUB.4M	0.9658472125114269
11212.ERUB.76M	0.9326196268622128
11212.ERUB.79M	0.9549019426082961
11212.ERUB.98M	0.9536158509105576
11212.RT2050	0.9838618054946062
11212.RT2135	0.98133332807389
11212.Lc155	0.9707093838660656
11212.Lc172	0.9722704129682096
11212.Lc23	0.9589889245983182
11212.Lc268	0.9528157317841642
11212.Lc316	0.9610634594580736
11212.Lc318	0.8957650764410793
11212.Lc331	0.95754339287352
11212.Lc336	0.9721618580561688
11212.Asen1013	0.9751156403684634
11212.Asen1019	0.9754559000600562
11212.Asen1118	0.9739130160376865
11212.AsenLink5	0.9601039791962716
11212.Gor4	0.9788765631641074
11212.Gor5	0.9303965390232621
11212.Gor6	0.9573528695358903
11212.Gor7	0.9796003940637977
11212.Gor8	0.9726100415265929
11212.Gor9	0.9823570261397625
11212.RC2137	0.9686563864270858
11212.RC2138	0.9731065855791978
11212.RC2141	0.9791419546787187
11166.ATL.24593.lemur	0.9100434397154378
11166.ATL.24596.lemur	0.9564140588867007
11166.ATL.24053.bongo	0.9760657325237735
11166.ATL.24064.bongo	0.9788198400669001
11166.ATL.24071.dog	0.8566124911123624
11166.ATL.24074.dog	0.7690941167537269
11166.ATL.24558.chinchilla	0.9592760902086586
11166.ATL.24574.chinchilla	0.9619515427755464
11166.ATL.25137.tamarin	0.8210598896108571
11166.ATL.24595.orangutan	0.9485162156858298
11166.ATL.25007.hedgehog	0.7103484742847732
11166.ATL.24050.lion	0.8860790750742814
11166.ATL.24078.sunbear	0.7227831396707655
11166.ATL.24082.sunbear	0.8846641533101458
11166.ATL.24564.meerkat	0.9252698439621754
11166.ATL.24497.nakedmolerat	0.9597470733662772
11166.ATL.24562.porcupine	0.9849255016276334
11166.ATL.24578.porcupine	0.9860433963250297
11166.ATL.24592.lemur	0.849812583021136
11166.ATL.24995.monkey	0.9699947043979137
11166.ATL.25124.elephant	0.9848616782818187
11166.ATL.24550.armadillo	0.9048776143953596
11166.ATL.24999.orangutan	0.977569959637059
11166.ATL.24076.tiger	0.913743773722966
11166.ATL.24079.tiger	0.8777404642181985
11166.ATL.24570.warthog	0.9667609356155373
11166.ATL.25126.zebra	0.9754218977583924
11166.NZ.16840.A2.lessershorttailedbat	0.8693040277146371
11166.NZ.16842.A2.lessershorttailedbat	0.8426739930713407
1696.CT0001.3	0.9785969711522816
1696.CT0002.1	0.9711303497168283
1696.CT0002.4	0.9755026828092134
1696.CT0003.2	0.9814373072701615
1696.CT0003.3	0.9833709416408872
