SampleID,Genus/Species,Sex,Mass(kg),Mean_Mass(kg),Citation
AfElphSD4,Loxodonta africana,Male,2696,,https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-092-01-0001.pdf
AfElphSD4,,Female,5374,4035,https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-092-01-0001.pdf
Armadillo,Tolypeutes matacus,,1.2,1.2,https://academic.oup.com/jmammal/article/101/6/1692/5922487
BaboonSTL,Papio hamadryas,Male,23.5,,https://elifesciences.org/articles/50989
BaboonSTL,,Female,12.5,18,https://elifesciences.org/articles/50989
BigHornSD,Ovis canadensis,,,67.13,https://www.nature.com/articles/6885430/tables/2
BlackBr2,Ursus americanus,,,175,https://www.nrs.fs.usda.gov/pubs/jrnl/2007/nrs_2007_trani_007.pdf
BlackLemur,Eulemur macaco macaco,,2.04,2.04,"Bauchot, R., & Stephan, H. (1966). Données nouvelles sur l’encéphalisation des"
BlackRhino1,Diceros bicornis,Male,989.5,,https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-455-01-0001.pdf
BlackRhino1,,Female,983.65,986.575,https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-455-01-0001.pdf
BushDog1,Speothos venaticus,,,5.5,https://www.sciencedirect.com/science/article/abs/pii/S0006320708002644
CRBM.05,,,,NaN,
Callimicos ,Callimico goeldii,,,0.557,https://www.sciencedirect.com/science/article/abs/pii/S1095643303000771
Capybara,Hydrochaeris hydrochaeris,,,55,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8402786/
Chimp1,Pan troglodytes,Male,62.51,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7685522/#!po=39.2857
Chimp1,,Female,59.62,61.065,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7685522/#!po=39.2857
Colobus,Colobus guerza,,,10.28125,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994."
Echidna,Tachyglossidae aculeatus,,,3.43,"Dawson, Grant, & Fanning, 1979. Standard Metabolism of Monotremes and the Evolution of Homeothermy"
Gazelle3,Gazella spekei,,,12.75,https://www.zora.uzh.ch/id/eprint/111449/9/MD_MammBiol_Gazelles_150518_mc.pdf
Giraffe2,Giraffa camelopardalis reticulata,Male,1400,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151920/
Giraffe2,,Female,950,1175,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151920/
GorillaSTL,Gorilla gorilla,,120.975,,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994."
GorillaSTL,Gorilla gorilla,,181,150.9875,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science"
Horse1,Equus equus,,,250,https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-628-01-0001.pdf
Hyena2,Crocuta crocuta,,,62.37,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science"
HyraxSTL,Procavia capensis,,0.6,,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
HyraxSTL,Procavia capensis,,1.26,0.93,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
Kroo3,Macropus rufus,,,44.841,"Ashwell, K. W. S. (2008). Encephalization of Australian and New Guinean marsupials. Brain, Behavior and Evolution, 71(3), 181-199"
Lion1,Panthera leo,,,84," *Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
Okapi2,Okapia johnstoni,,,250,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151920/
Orang1,Pongo pygmaeus abelii,,,54.22904,"Boddy, A. M., McGowen, M. R., Sherwood, C. C., Grossman, L. I., Goodman, M., & Wildman, D. E. (2012). Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. Journal of evolutionary biology, 25(5), 981-994."
PolarBr2,Ursus maritimus,Male,199.57,,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science"
PolarBr2,Ursus maritimus,Female,317,258.285,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science"
RTLemur,Lemur catta,,,2.8,https://bioone.org/journals/mammalian-species/volume-42/issue-1/854.1/Lemur-catta-Primates-Lemuridae/10.1644/854.1.full
Rabbit,Oryctolagus cuniculus ,,2.844,,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
Rabbit,Oryctolagus cuniculus ,,2.217,,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
Rabbit,Oryctolagus cuniculus ,,0.622,1.894333333,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403."
