,Sample,Mass(kg),Diet
0       AfElphSD3,AfElphSD3,4104,H
1       Armadillo,Armadillo,1.3,C
2       BaboonSTL,BaboonSTL,20,O
3       BigHornSD,BigHornSD,67.13,H
4        BlackBr2,BlackBr2,175,O
5      BlackLemur,BlackLemur,1.981,O
6     BlackRhino1,BlackRhino1,1767,H
7        BushDog1,BushDog1,5.5,C
8         CRBM.05,CRBM.05,NaN,
9      Callimicos,Callimicos ,360.5,O
10       Capybara,Capybara,58.8,H
11         Chimp1,Chimp1,61.065,O
12        Colobus,Colobus,10.28125,H
13       Gazelle3,Gazelle3,12.75,H
14       Giraffe2,Giraffe2,1175,H
15     GorillaSTL,GorillaSTL,120.975,H
16         Horse1,Horse1,250,H
17         Hyena2,Hyena2,62.37,C
18       HyraxSTL,HyraxSTL,2.52,H
19          Kroo3,Kroo3,44.841,H
20          Lion1,Lion1,84,C
21         Okapi2,Okapi2,250,H
22         Orang1,Orang1,54.22904,H
23       PolarBr2,PolarBr2,258.285,C
24        RTLemur,RTLemur,2.8,O
25         Rabbit,Rabbit,2.844,H
26           Saki,Saki,1.625,O
27        SpecBr2,SpecBr2,117.5,O
28         SpgbkW,SpgbkW,30,H
29       Squirrel,Squirrel,0.433,O
30         Urial2,Urial2,61,H
31          VWPig,VWPig,30,H
32      ZebraSTL1,ZebraSTL1,385.8,H
