	simpson
AfElphSD3	0.9946329946666866
Armadillo	0.9911252866936702
BaboonSTL	0.9543636086840417
BigHornSD	0.9967917761655548
BlackBr2	0.46541332554674586
BlackLemur	0.8709011228159496
BlackRhino1	0.990150715392736
BushDog1	0.9612542395723367
CRBM.05	0.9879557462271238
Callimicos	0.9544721716842738
Capybara	0.9940315306883892
Chimp1	0.9968990913152096
Colobus	0.9916918108558009
Gazelle3	0.9973745223851915
Giraffe2	0.9968766300048167
GorillaSTL	0.9794142090249545
Horse1	0.9978424663517091
Hyena2	0.9913399169929796
HyraxSTL	0.9952806291163471
Kroo3	0.9975804177304592
Lion1	0.9203484497952277
Okapi2	0.9978873889724948
Orang1	0.9960006388994956
PolarBr2	0.9115136677073741
RTLemur	0.9955713783008767
Rabbit	0.9835533293901255
Saki	0.9916082048671164
SpecBr2	0.7738121086428627
SpgbkW	0.9984039991115304
Squirrel	0.6277898819283783
Urial2	0.99825176134109
VWPig	0.9881703765264332
ZebraSTL1	0.9816366309032691
