sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
393104
90,999,1.5288087123666256,55,39,26.76991150442478,0.6864079872929431
54,999,5.0921872556376755,327,178,71.52441471571906,0.40182255458269134
45,999,3.029887181806914,168,109,45.230769230769226,0.4149611856033874
36,999,4.198341001101941,239,136,46.177041228779295,0.33953706785867127
117,999,5.333857368739894,403,184,39.219753682685344,0.21315083523198555
27,999,3.931845850871582,252,111,25.48314606741573,0.22957789249924082
91,999,3.959665987455774,169,102,38.648173207036535,0.37890365889251504
72,999,15.867290744319746,1749,372,48.73115830054323,0.1309977373670517
28,999,6.597882468832052,489,193,44.53734401192028,0.2307634404762709
118,999,1.079146280959885,50,42,27.173913043478272,0.6469979296066255
46,999,6.4699481211703604,421,185,37.65476949224559,0.20353929455267888
73,999,4.769618230540352,311,167,58.020995800839835,0.34743111257987924
81,999,23.277361733123772,4612,553,48.60994204435343,0.08790224601148902
92,999,15.910580603804561,1685,386,49.66719146330797,0.12867148047489113
63,999,25.649193753380914,5840,578,48.32395823001828,0.08360546406577557
74,999,1.4482521639249704,55,39,23.091603053435115,0.5920923859855157
119,999,1.5801004253083741,55,36,22.08029197080292,0.6133414436334145
99,999,23.699701724454027,4641,575,37.32487847989395,0.064912832138946
82,999,4.260369689912183,243,132,38.66994106090373,0.2929540989462404
64,999,1.6226025736806098,50,41,29.76190476190477,0.7259001161440187
75,999,8.584475766830616,685,246,33.158434032930536,0.1347903822476851
100,999,4.258315906434948,309,156,45.97063071738084,0.2946835302396208
83,999,9.99816124620081,827,276,55.11556128616326,0.19969406263102632
93,999,23.484729602191326,4625,552,41.417215427123125,0.07503118736797668
65,999,6.217039227155218,481,198,38.50241304709601,0.19445663155098997
94,999,3.1857313912582645,178,94,29.337037037037042,0.3120961386918834
101,999,12.866215755157485,1288,335,26.849836532547823,0.08014876576879947
120,999,25.78970763290061,5717,579,39.83158878664128,0.0687937630166516
66,999,18.33185206437307,2396,444,40.96778705487762,0.09226979066413878
95,999,20.692991874725106,2906,493,42.576715201871494,0.08636250548046956
29,999,35.90391374178179,14347,773,40.07625387963168,0.051845089106897384
47,999,30.926410381318632,8628,662,47.40761987489986,0.0716127188442596
1,999,39.37636894410976,22595,804,44.29799002914796,0.05509700252381587
121,999,9.36762667615764,837,279,44.314567651337846,0.15883357581124677
96,999,12.191738041748016,1224,350,61.030470914127434,0.1743727740403641
102,999,23.847388232839126,4228,508,45.40739687055476,0.08938463950896607
48,999,4.106091910425688,311,164,51.04010554089711,0.3112201557371775
122,999,10.60336061430349,873,288,54.86494852782377,0.1905032934993881
67,999,23.489021957937105,4475,542,44.81278797331681,0.08268042061497566
84,999,32.002554274762936,11878,726,50.14390042791544,0.06906873337178435
85,999,2.096280640186123,170,100,47.068403908794785,0.47068403908794787
30,999,36.07026377972934,15467,755,49.00386331248114,0.06490577922182932
86,999,27.109717907316078,5961,594,58.23897576430056,0.09804541374461374
126,999,46.69378900447755,40330,885,41.62589151602177,0.0470349056678212
127,999,14.883212038118106,1649,399,42.39940436280853,0.10626417133535973
128,999,29.091217171808633,7985,635,44.857372912180175,0.07064153214516564
129,999,7.48509772102614,595,219,40.734668047405364,0.18600305044477336
130,999,40.73465299858724,24599,820,55.90029518265565,0.06817109168616542
131,999,12.018329912996457,1182,335,48.7142259414226,0.14541559982514207
87,999,46.52485508902365,42941,918,48.180251434756414,0.052483934024789125
88,999,2.4857687398572015,173,95,30.75950668036999,0.3237842808459999
89,999,31.59557911216351,9720,663,42.75605645632817,0.06448877293563826
135,999,24.411683679085485,5096,539,58.35988709706417,0.10827437309288343
136,999,12.438517929490494,1104,328,46.65145831738498,0.1422300558456859
137,999,24.41686562456585,4622,536,59.50498314810172,0.11101675960466739
123,999,53.867063108748305,80811,1005,42.69762698042285,0.04248520097554512
103,999,58.07624300247096,148194,1109,51.43372514230174,0.04637847172434783
124,999,30.905821695202405,9140,662,46.735649725984786,0.07059765819635164
125,999,4.180730505937856,317,160,36.475136116152456,0.22796960072595285
104,999,20.964376706144826,2975,492,51.82987532427984,0.10534527504934926
105,999,1.6082763384784964,50,36,22.321428571428573,0.6200396825396826
144,999,4.489980632187039,329,162,57.240084611316774,0.3533338556254122
106,999,1.7863398786597497,50,42,29.069767441860478,0.6921373200442971
145,999,5.068713967780294,403,184,55.6004792879151,0.3021765178691038
107,999,3.6980077650237795,178,102,25.97049180327869,0.2546126647380264
153,999,3.117729527722715,241,117,20.83997129529961,0.17811941278033855
154,999,4.115052076078989,233,128,38.31263232180663,0.2993174400141143
146,999,17.240534840945646,2399,439,47.0438297489721,0.107161343391736
155,999,4.120850491248176,321,156,29.772031204854095,0.19084635387726984
156,999,3.041018721226494,261,133,44.845951283739296,0.33718760363713757
147,999,9.241510240625555,827,282,64.89505645696936,0.2301243136771963
157,999,9.782443185293335,729,254,51.11484081946716,0.2012395307853038
158,999,4.543704001537143,250,131,47.49240121580548,0.36253741386111055
159,999,23.750991495943207,4069,552,56.327200541608974,0.10204202996668292
160,999,29.15152434485446,8934,653,47.28305848035667,0.07240897163913733
148,999,32.05353003665002,11222,703,46.82857759069477,0.06661248590425999
161,999,25.138400732650116,5607,592,44.486335766712564,0.07514583744377122
162,999,32.3333543315633,10549,698,42.77669906271466,0.06128466914429035
163,999,28.398841739223535,7715,660,50.24291595373898,0.07612563023293785
164,999,11.15904934939807,959,275,50.971623344233215,0.1853513576153935
165,999,1.399032998616347,55,40,27.252252252252255,0.6813063063063064
166,999,1.8445893379824254,115,69,30.971896955503517,0.44886807181889155
55,999,60.072607951266804,159453,1091,48.65029342697188,0.044592386275867896
