sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
045206
18,999,3.2526081241542033,150,111,57.989690721649474,0.5224296461409863
72,999,2.942271337074667,150,104,40.035587188612084,0.38495756912127005
117,999,3.1815193141316502,200,131,53.05039787798409,0.40496486929758846
27,999,3.196146561183659,150,95,32.32758620689654,0.34029038112522675
81,999,3.8710763472406655,150,106,38.135593220338976,0.35976974736168843
126,999,11.174024624859943,605,325,50.75925669116627,0.1561823282805116
0,999,10.718396556043563,556,292,37.77321603128055,0.12936032887424845
99,999,16.5879961520159,808,409,43.46631158455393,0.1062746004512321
45,999,21.629023026914382,1110,515,50.40088358013582,0.09786579335948703
63,999,21.25499124933519,1113,525,43.43357526033449,0.08273061954349427
54,999,34.49803966816118,1732,725,44.73610116917203,0.06170496712989246
108,999,38.99951105807174,1987,835,48.15838649476112,0.05767471436498337
9,999,33.85297707583421,1680,691,40.13081188681928,0.05807642820089621
28,999,1.5530572466781545,50,43,32.89473684210527,0.7649938800489597
37,999,7.2881652195425755,400,237,64.41223832528182,0.271781596309206
19,999,4.826819955947427,200,140,63.89776357827477,0.45641259698767694
1,999,5.8562448881591616,300,181,38.89369057908384,0.2148822683927284
118,999,13.715597499247208,709,364,49.38412417722761,0.13567067081655937
127,999,10.443086001896832,552,300,40.83409273653175,0.13611364245510585
73,999,27.17887658001662,1411,648,52.92891133856175,0.08168041873234838
82,999,20.153942918818302,1006,449,43.327168421953935,0.09649703434733616
90,999,86.71176444106246,4533,1483,54.51072143889854,0.036757060983748174
64,999,11.253967428683223,554,300,37.41053144807411,0.12470177149358036
46,999,22.223726192499996,1109,541,51.939735630727654,0.09600690504755574
55,999,19.33592550210837,1011,473,54.784852870236364,0.11582421325631366
38,999,1.4152812030274655,100,71,29.06976744186046,0.40943334425155575
119,999,8.485026343419309,450,262,57.92334096109838,0.22108145404999383
2,999,3.959767528177407,150,97,32.60869565217391,0.3361721201255042
128,999,1.6427766152560133,100,69,31.847133757961778,0.46155266315886634
20,999,29.75727643413132,1526,629,48.96908777389915,0.07785228580906065
74,999,1.0015673598395247,100,66,29.585798816568044,0.44826967903890974
91,999,4.762027898571709,200,133,45.662100456621005,0.34332406358361656
29,999,48.880189456006235,2456,894,51.03678884489119,0.057088130698983434
10,999,49.80082732890891,2580,950,43.40941698187035,0.045694123138810896
100,999,91.55451527290386,4764,1501,49.56907351592189,0.03302403298862218
56,999,1.3811256348388008,100,70,25.380710659898476,0.36258158085569253
109,999,70.71083906655342,3694,1242,48.99619395053572,0.03944943152217047
39,999,17.082325844988006,861,418,47.548008466422935,0.11375121642684913
47,999,31.106631096587535,1638,680,45.35693275180039,0.0667013716938241
129,999,1.0914236220191949,100,70,33.557046979865774,0.4793863854266539
92,999,3.6848157982793057,200,135,41.23711340206186,0.30546009927453227
