sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
4,4,4.0,1.0
63,999,2.2714033475696627,3,3,3.0,1.0
45,999,2.3151271372300792,2,2,2.0,1.0
54,999,20.532066192037338,20,17,15.384615384615378,0.9049773755656104
27,999,2.6987368272152183,2,2,2.0,1.0
0,999,1.1026232226183326,1,1,1.0,1.0
126,999,3.39186105043215,4,4,4.0,1.0
81,999,23.626206981548233,23,21,19.59259259259259,0.9329805996472663
108,999,36.063759712173734,37,32,24.89090909090909,0.7778409090909091
36,999,62.480478943785826,62,51,35.5925925925926,0.6978939724037765
117,999,4.754723565536816,5,5,4.999999999999999,0.9999999999999998
72,999,72.1643950110254,72,55,32.81012658227847,0.5965477560414267
9,999,47.994117012355396,47,30,13.071005917159765,0.4357001972386588
90,999,17.59910217909864,18,15,12.461538461538462,0.8307692307692308
1,999,1.228466539912581,1,1,1.0,1.0
28,999,1.0611554601099058,1,1,1.0,1.0
127,999,6.287356233585079,6,5,4.5,0.9
64,999,27.941682061218454,28,23,17.818181818181817,0.7747035573122529
46,999,2.224938693549695,2,2,2.0,1.0
100,999,23.279517223449993,24,22,20.57142857142857,0.9350649350649349
55,999,11.434216458638387,12,11,10.285714285714285,0.9350649350649349
37,999,1.7951218382199767,2,2,2.0,1.0
82,999,2.6030571213091607,3,3,3.0,1.0
109,999,48.209320125200875,49,37,20.87826086956522,0.56427732079906
19,999,1.1737171264642392,2,2,2.0,1.0
118,999,5.282332675633656,5,5,4.999999999999999,0.9999999999999998
73,999,10.792730823707247,10,9,8.333333333333332,0.9259259259259258
10,999,6.961489205376451,6,6,5.999999999999999,0.9999999999999999
91,999,7.3775624399628965,8,7,6.4,0.9142857142857144
2,999,1.0675576404360323,1,1,1.0,1.0
128,999,1.074325145879831,1,1,1.0,1.0
83,999,8.690542631110183,8,8,8.0,1.0
38,999,77.0638853127174,78,57,27.90825688073395,0.4896185417672623
29,999,1.0185374301862105,2,2,2.0,1.0
47,999,12.114878326467897,12,11,10.285714285714285,0.9350649350649349
65,999,1.649517986943546,1,1,1.0,1.0
110,999,7.032693269147225,8,7,6.4,0.9142857142857144
101,999,3.5203398357918454,3,3,3.0,1.0
119,999,3.031009605836948,3,3,3.0,1.0
56,999,2.0029246933650016,2,2,2.0,1.0
74,999,30.250026376484527,31,26,20.446808510638295,0.7864157119476267
20,999,1.0483363455782995,1,1,1.0,1.0
11,999,1.220439927381173,1,1,1.0,1.0
92,999,1.540438655360964,2,2,2.0,1.0
30,999,11.128096889427672,11,11,11.0,1.0
39,999,3.9452965788616856,3,3,3.0,1.0
129,999,60.75118174908143,60,46,27.272727272727273,0.5928853754940712
84,999,2.0726716422705342,2,2,2.0,1.0
111,999,1.5015199255074065,1,1,1.0,1.0
66,999,50.324072201351484,51,45,34.67999999999998,0.7706666666666662
48,999,4.775292354155772,5,4,3.571428571428571,0.8928571428571428
31,999,1.0507900942600557,2,2,2.0,1.0
120,999,5.438029711708101,5,4,3.571428571428571,0.8928571428571428
102,999,7.617622387659474,8,6,5.333333333333333,0.8888888888888888
3,999,80.66570664149954,80,60,35.55555555555554,0.5925925925925923
75,999,28.50376316276441,29,26,24.02857142857144,0.9241758241758246
21,999,9.148469386225276,9,9,9.0,1.0
12,999,3.6344636252024056,3,3,3.0,1.0
57,999,38.95218460165318,39,31,20.28,0.6541935483870968
93,999,9.179955572768835,10,8,6.25,0.78125
40,999,78.35708743311635,78,58,29.823529411764714,0.5141987829614606
85,999,2.0025293764108723,3,3,3.0,1.0
67,999,1.5246974313320876,2,2,2.0,1.0
