sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
459053
117,999,62.056395905555334,218,100,24.881675392670157,0.24881675392670158
65,999,20.936343787592186,947,296,30.312962649991544,0.10240865760132278
78,999,53.42461795257178,186,92,24.889208633093528,0.2705348764466688
39,999,44.91736903406336,1213,300,32.54017294380433,0.10846724314601443
13,999,28.108586688256914,1065,310,30.880911541288896,0.09961584368157708
104,999,32.496981751953086,680,234,32.531307161953,0.13902268017928635
0,999,73.8260885851421,1454,363,26.171928000198072,0.07209897520715722
26,999,67.96595166796834,3051,550,27.63516398041794,0.050245752691668984
66,999,1.340513983229044,94,48,17.2578125,0.3595377604166667
91,999,43.17150122613823,1509,386,31.405847872560514,0.0813623001879806
79,999,5.365955931563493,285,132,33.773388773388774,0.25585900585900584
40,999,71.35624539617201,1571,381,28.918401781006505,0.07590131701051576
14,999,26.318269545609198,579,215,33.45384692146493,0.15559928800681364
1,999,97.9924647307383,759,195,31.08071216617211,0.15938826751883134
67,999,85.57452642855563,637,168,26.197236748660337,0.15593593302774011
118,999,86.83786396143387,3980,556,27.087886343193492,0.04871922004171492
105,999,50.83021909722058,2347,460,26.40542354356715,0.057403094659928586
53,999,78.51781737878163,3622,523,27.54447803812883,0.05266630600024633
41,999,31.890218704578977,353,151,22.383509969462906,0.1482351653606815
15,999,8.90852941038059,261,125,23.14678899082569,0.18517431192660552
80,999,68.61141430842079,1360,312,31.619256017505478,0.10134376928687654
92,999,44.184171651159886,1759,407,31.79775962180772,0.07812717351795509
27,999,71.50306249477453,3741,555,27.754966414602652,0.050008948494779555
106,999,1.6121344813624394,16,13,9.142857142857142,0.7032967032967032
54,999,22.74542104120052,1116,309,27.935043961959448,0.09040467301604999
2,999,64.77519022801216,4064,559,26.858759781696598,0.048047870808044006
68,999,49.61726851160557,2099,453,29.06297041459151,0.06415666758187971
93,999,2.938107234019953,42,34,22.615384615384627,0.6651583710407243
28,999,16.772803446729885,325,137,30.084021646254627,0.219591398877771
16,999,59.43410199259152,353,149,23.26096695911891,0.15611387220885176
119,999,92.89212692510577,3910,625,28.65161379796322,0.04584258207674115
42,999,73.34176616636891,2972,463,26.496232301415894,0.05722728358837126
81,999,58.40772219678421,2590,456,28.821795620939746,0.06320569215118366
107,999,61.69330901676085,2134,468,29.44000103435346,0.06290598511613987
69,999,66.66883076494638,622,184,24.7811939533692,0.13468040192048478
