sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
9,50,511,122,19.11713888278791,0.15669785969498287
65,999,50,611,125,16.7325982699117,0.13386078615929362
13,999,50,724,165,17.300679912865537,0.1048526055325184
78,999,50,2276,193,16.071431673916145,0.08327166670422873
104,999,50,1540,173,16.08780593694036,0.09299309790138936
0,999,50,1012,143,14.369110755675278,0.10048329199772922
53,999,50,240,79,19.187208527648234,0.24287605731200296
39,999,50,2263,178,15.452342517130985,0.08681091301758981
91,999,50,2726,340,20.164647780310432,0.05930778758914833
26,999,50,2703,248,17.45012192762682,0.07036339486946298
118,999,50,1551,179,16.437651608847464,0.09183045591534895
14,999,50,985,129,14.177735887656542,0.10990492936167862
79,999,50,2064,164,13.814436733899733,0.08423437032865691
66,999,50,2979,410,22.503914025829783,0.05488759518495069
54,999,50,819,119,16.867276887871856,0.14174182258715845
15,999,50,50,30,12.88659793814433,0.429553264604811
40,999,50,2240,340,20.886302521708004,0.06143030153443531
1,999,50,2943,241,15.348687486598415,0.06368749994439177
92,999,50,652,319,45.641400042946096,0.14307648916284044
105,999,50,1617,173,15.491791040354551,0.08954792508875463
27,999,50,1520,173,16.838913750127546,0.0973347615614309
80,999,50,420,88,14.046822742474916,0.15962298570994224
67,999,50,532,95,15.291981845688353,0.16096822995461424
119,999,50,2676,186,14.393169402202098,0.07738263119463494
2,999,50,171,92,39.568335588633296,0.430090604224275
55,999,50,1265,331,32.583840687422374,0.098440606306412
16,999,50,1328,144,13.277800364397464,0.09220694697498238
93,999,50,763,121,14.45771972086324,0.11948528694928298
81,999,50,379,120,21.05864242779651,0.17548868689830424
106,999,50,1257,259,24.482839301485967,0.0945283370713744
28,999,50,1525,150,14.353317656933722,0.09568878437955815
68,999,50,1478,228,22.398072387983184,0.09823715959641748
41,999,50,2863,214,15.60335299750058,0.07291286447430177
56,999,50,709,192,21.777108694710392,0.1134224411182833
120,999,50,2339,702,42.28535101753735,0.06023554276002472
94,999,50,527,129,19.149762118182444,0.14844776835800344
17,999,50,693,174,19.52946199829206,0.1122382873465061
3,999,50,2697,181,15.013424508810349,0.08294709673375883
