sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
6667
26,10,1307.5482571775228,1515,8,5.48780487804878,0.6859756097560975
221,10,1891.4845826436197,1515,9,7.258064516129032,0.8064516129032258
143,10,872.9006060431146,909,7,5.4,0.7714285714285715
104,10,433.568509606056,505,4,3.571428571428571,0.8928571428571428
78,10,4466.451785468121,1414,9,7.538461538461539,0.8376068376068377
117,10,9299.001498469943,1010,10,9.999999999999996,0.9999999999999997
0,10,8560.899605835642,1515,10,8.333333333333332,0.8333333333333333
91,10,4743.0110035399175,1111,6,4.840000000000001,0.8066666666666668
13,10,6856.164101549754,1111,9,7.117647058823531,0.7908496732026146
130,10,3309.801337074858,1515,8,6.428571428571427,0.8035714285714284
234,10,1944.2348423886422,1010,10,9.999999999999996,0.9999999999999997
26,20,1307.5482571775228,3131,11,7.566929133858268,0.6879026485325698
65,10,395.095954879419,404,3,2.6666666666666665,0.8888888888888888
195,10,3418.910081482924,1010,8,7.142857142857142,0.8928571428571428
247,10,4011.3437937972085,1010,7,4.545454545454545,0.6493506493506492
52,10,6604.829901681519,1010,9,8.333333333333332,0.9259259259259258
221,20,1891.4845826436197,4747,15,9.09053497942387,0.6060356652949247
39,10,7406.899535620046,1515,7,5.769230769230769,0.8241758241758241
208,20,6158.77595739139,4343,13,8.763033175355451,0.6740794750273424
182,10,3458.617988185327,1515,7,4.245283018867924,0.6064690026954177
169,10,5867.103008469197,1111,10,9.307692307692307,0.9307692307692307
26,30,1307.5482571775228,2626,11,6.5,0.5909090909090909
104,20,433.568509606056,505,5,4.999999999999999,0.9999999999999998
156,10,7015.533189423394,1313,9,6.259259259259258,0.6954732510288064
143,20,872.9006060431146,909,5,3.5217391304347827,0.7043478260869566
221,30,1891.4845826436197,5656,14,6.5062240663900415,0.46473029045643155
234,20,1944.2348423886422,2020,18,15.384615384615378,0.8547008547008543
65,20,395.095954879419,404,3,2.6666666666666665,0.8888888888888888
117,20,9299.001498469943,2020,17,14.285714285714281,0.8403361344537812
26,40,1307.5482571775228,2222,10,8.344827586206897,0.8344827586206897
247,20,4011.3437937972085,2020,14,7.692307692307692,0.5494505494505494
13,20,6856.164101549754,3232,14,9.481481481481481,0.6772486772486772
91,20,4743.0110035399175,3333,12,6.849056603773586,0.5707547169811321
0,20,8560.899605835642,5252,19,11.457627118644067,0.6030330062444246
52,20,6604.829901681519,2121,19,17.640000000000008,0.9284210526315794
104,30,433.568509606056,505,4,3.571428571428571,0.8928571428571428
221,40,1891.4845826436197,4848,15,9.29032258064516,0.6193548387096773
169,20,5867.103008469197,3333,13,9.469565217391304,0.728428093645485
195,20,3418.910081482924,3030,15,10.97560975609756,0.7317073170731707
143,30,872.9006060431146,909,6,4.764705882352941,0.7941176470588235
26,50,1307.5482571775228,2929,10,6.727999999999999,0.6727999999999998
78,20,4466.451785468121,4444,15,9.398058252427184,0.626537216828479
104,40,433.568509606056,505,4,3.571428571428571,0.8928571428571428
234,30,1944.2348423886422,2020,16,13.333333333333332,0.8333333333333333
65,30,395.095954879419,404,4,4.0,1.0
65,40,395.095954879419,404,3,2.6666666666666665,0.8888888888888888
130,20,3309.801337074858,5151,12,7.3682719546742215,0.6140226628895185
182,20,3458.617988185327,5151,14,5.767184035476718,0.41194171681976555
208,30,6158.77595739139,10504,18,11.605150214592276,0.6447305674773487
221,50,1891.4845826436197,4646,13,8.601626016260163,0.6616635397123202
39,20,7406.899535620046,5555,15,8.197831978319783,0.5465221318879856
26,60,1307.5482571775228,3030,8,6.164383561643835,0.7705479452054794
156,20,7015.533189423394,4040,17,11.940298507462687,0.7023705004389816
247,30,4011.3437937972085,3131,19,11.864197530864196,0.6244314489928524
117,30,9299.001498469943,3434,24,13.441860465116278,0.560077519379845
143,40,872.9006060431146,909,7,6.230769230769231,0.8901098901098902
234,40,1944.2348423886422,2020,18,15.384615384615378,0.8547008547008543
221,60,1891.4845826436197,6363,15,4.869938650306748,0.32466257668711657
26,70,1307.5482571775228,2828,10,3.5315315315315314,0.35315315315315315
52,30,6604.829901681519,4141,24,17.329896907216494,0.7220790378006873
13,30,6856.164101549754,6767,16,9.105476673427992,0.5690922920892495
195,30,3418.910081482924,6363,21,13.274247491638798,0.6321070234113714
26,80,1307.5482571775228,2929,12,9.043010752688174,0.7535842293906811
91,30,4743.0110035399175,7070,19,9.919028340080972,0.5220541231621564
221,70,1891.4845826436197,3535,15,8.81294964028777,0.5875299760191847
169,30,5867.103008469197,6969,16,9.03415559772296,0.564634724857685
143,50,872.9006060431146,909,8,7.363636363636364,0.9204545454545455
234,50,1944.2348423886422,2020,17,14.285714285714281,0.8403361344537812
247,40,4011.3437937972085,5151,24,11.358078602620086,0.47325327510917026
26,90,1307.5482571775228,3030,11,7.258064516129032,0.6598240469208211
66,10,5830.306828694355,1010,9,8.333333333333332,0.9259259259259258
105,10,7444.718102158327,1414,8,5.157894736842105,0.6447368421052632
221,80,1891.4845826436197,4747,14,8.335849056603774,0.5954177897574124
26,100,1307.5482571775228,2626,9,6.759999999999998,0.7511111111111108
143,60,872.9006060431146,909,8,7.363636363636364,0.9204545454545455
234,60,1944.2348423886422,2020,16,13.333333333333332,0.8333333333333333
117,40,9299.001498469943,5454,31,18.935064935064936,0.6108085462924173
221,90,1891.4845826436197,4141,13,9.605714285714285,0.7389010989010989
182,30,3458.617988185327,13029,18,6.075575027382256,0.3375319459656809
0,30,8560.899605835642,14342,27,11.042716319824754,0.40898949332684276
26,110,1307.5482571775228,2626,10,7.3478260869565215,0.7347826086956522
195,40,3418.910081482924,9898,21,11.272300469483568,0.5367762128325508
130,30,3309.801337074858,13736,19,7.972413793103448,0.41960072595281306
52,40,6604.829901681519,6262,32,21.120879120879124,0.6600274725274726
247,50,4011.3437937972085,5858,22,11.288590604026846,0.513117754728493
221,100,1891.4845826436197,4242,15,10.5,0.7
156,30,7015.533189423394,9393,22,13.084720121028743,0.5947600055013065
78,30,4466.451785468121,10807,21,9.079302141157811,0.4323477210075148
66,20,5830.306828694355,2727,17,12.35593220338983,0.7268195413758723
143,70,872.9006060431146,909,7,6.230769230769231,0.8901098901098902
234,70,1944.2348423886422,2020,16,11.764705882352938,0.7352941176470587
26,120,1307.5482571775228,3131,11,7.688000000000001,0.6989090909090909
105,20,7444.718102158327,4444,15,8.642857142857144,0.5761904761904763
26,130,1307.5482571775228,2626,10,6.035714285714286,0.6035714285714285
221,110,1891.4845826436197,4545,16,10.828877005347593,0.6768048128342246
143,80,872.9006060431146,909,7,5.4,0.7714285714285715
13,40,6856.164101549754,12726,21,9.438763376932224,0.44946492271105826
234,80,1944.2348423886422,2020,17,14.285714285714281,0.8403361344537812
