sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
998
104,10,12.445157370657684,15,6,5.48780487804878,0.9146341463414633
143,10,11.410905889590264,15,6,3.813559322033898,0.635593220338983
52,10,11.292663786743816,15,8,6.081081081081081,0.7601351351351351
39,10,12.203712203646832,11,9,8.066666666666666,0.8962962962962963
169,10,15.01234843095388,15,9,6.818181818181818,0.7575757575757576
65,10,14.67753845417964,15,9,5.769230769230769,0.641025641025641
13,10,15.307937131078724,13,9,7.347826086956521,0.8164251207729467
78,10,11.97318864604528,10,9,8.333333333333332,0.9259259259259258
234,10,13.164995756330185,13,7,3.755555555555555,0.5365079365079365
195,10,18.575947176432074,10,8,6.25,0.78125
0,10,14.034054694544983,13,10,8.047619047619046,0.8047619047619046
26,10,11.435702164494433,15,8,6.428571428571429,0.8035714285714286
117,10,12.19080198049784,14,7,5.764705882352942,0.823529411764706
208,10,12.281497964981572,11,8,7.117647058823529,0.8897058823529411
247,10,15.999985288045735,10,8,7.142857142857142,0.8928571428571428
130,10,18.31850182472675,10,9,8.333333333333332,0.9259259259259258
156,10,14.49963619735847,14,8,6.125000000000001,0.7656250000000001
182,10,15.717103218049965,14,8,5.157894736842105,0.6447368421052632
221,10,13.08781054079812,12,10,9.0,0.9
91,20,13.316357667418266,26,7,4.694444444444444,0.6706349206349206
78,20,11.97318864604528,12,10,9.0,0.9
104,20,12.445157370657684,17,6,2.6036036036036037,0.4339339339339339
143,20,11.410905889590264,25,10,7.71604938271605,0.771604938271605
52,20,11.292663786743816,25,9,6.868131868131868,0.7631257631257631
39,20,12.203712203646832,19,12,9.756756756756758,0.8130630630630632
169,20,15.01234843095388,36,14,10.125,0.7232142857142857
65,20,14.67753845417964,23,13,9.981132075471699,0.7677793904208999
13,20,15.307937131078724,27,15,12.789473684210526,0.8526315789473684
26,20,11.435702164494433,16,10,6.4,0.64
195,20,18.575947176432074,26,14,8.894736842105264,0.6353383458646616
117,20,12.19080198049784,21,9,7.0,0.7777777777777778
0,20,14.034054694544983,25,12,10.593220338983052,0.882768361581921
208,20,12.281497964981572,19,12,7.680851063829788,0.6400709219858157
247,20,15.999985288045735,22,14,8.344827586206897,0.5960591133004927
130,20,18.31850182472675,19,13,8.395348837209303,0.6457960644007156
182,20,15.717103218049965,34,10,7.917808219178083,0.7917808219178083
156,20,14.49963619735847,29,11,7.188034188034189,0.6534576534576536
91,30,13.316357667418266,16,12,9.846153846153847,0.8205128205128206
221,20,13.08781054079812,21,13,9.0,0.6923076923076923
234,20,13.164995756330185,22,11,8.344827586206897,0.7586206896551725
104,30,12.445157370657684,26,7,4.447368421052632,0.6353383458646616
78,30,11.97318864604528,12,9,5.999999999999999,0.6666666666666665
143,30,11.410905889590264,15,8,6.081081081081081,0.7601351351351351
52,30,11.292663786743816,22,9,6.05,0.6722222222222222
13,30,15.307937131078724,37,13,7.734463276836157,0.5949587136027813
39,30,12.203712203646832,21,13,8.320754716981133,0.6400580551523949
169,30,15.01234843095388,34,13,9.475409836065573,0.7288776796973517
182,30,15.717103218049965,34,8,2.8899999999999997,0.36124999999999996
26,30,11.435702164494433,23,12,7.450704225352112,0.6208920187793426
65,30,14.67753845417964,27,12,8.379310344827587,0.6982758620689656
117,30,12.19080198049784,23,9,5.237623762376238,0.581958195819582
234,30,13.164995756330185,22,9,5.902439024390244,0.6558265582655827
91,40,13.316357667418266,22,12,9.680000000000001,0.8066666666666668
195,30,18.575947176432074,29,9,4.976331360946745,0.5529257067718606
130,30,18.31850182472675,19,13,9.256410256410257,0.7120315581854044
0,30,14.034054694544983,32,11,6.826666666666667,0.6206060606060606
247,30,15.999985288045735,20,11,5.714285714285714,0.5194805194805195
208,30,12.281497964981572,21,11,6.211267605633804,0.5646606914212549
143,40,11.410905889590264,24,10,7.024390243902438,0.7024390243902439
156,30,14.49963619735847,31,10,4.733990147783252,0.4733990147783252
221,30,13.08781054079812,17,13,10.703703703703702,0.8233618233618233
104,40,12.445157370657684,18,11,9.0,0.8181818181818182
78,40,11.97318864604528,12,8,4.499999999999999,0.5624999999999999
234,40,13.164995756330185,22,10,6.36842105263158,0.636842105263158
52,40,11.292663786743816,22,9,5.260869565217392,0.5845410628019324
13,40,15.307937131078724,30,9,5.294117647058823,0.5882352941176471
39,40,12.203712203646832,19,12,8.80487804878049,0.7337398373983741
26,40,11.435702164494433,18,11,8.526315789473685,0.7751196172248804
169,40,15.01234843095388,32,12,8.258064516129032,0.6881720430107526
208,40,12.281497964981572,19,11,5.5538461538461545,0.5048951048951049
182,40,15.717103218049965,38,12,6.876190476190477,0.5730158730158731
65,40,14.67753845417964,40,11,6.4,0.5818181818181819
195,40,18.575947176432074,27,9,3.6633165829145735,0.4070351758793971
221,40,13.08781054079812,21,12,10.756097560975611,0.8963414634146343
143,50,11.410905889590264,21,9,7.229508196721311,0.8032786885245902
234,50,13.164995756330185,22,10,6.050000000000001,0.6050000000000001
117,40,12.19080198049784,20,10,7.692307692307692,0.7692307692307692
91,50,13.316357667418266,18,11,8.526315789473685,0.7751196172248804
130,40,18.31850182472675,19,12,6.811320754716982,0.5676100628930818
247,40,15.999985288045735,25,11,7.352941176470588,0.6684491978609626
156,40,14.49963619735847,26,12,9.388888888888888,0.7824074074074073
104,50,12.445157370657684,25,8,3.8343558282208585,0.4792944785276073
78,50,11.97318864604528,12,10,8.0,0.8
208,50,12.281497964981572,19,9,5.73015873015873,0.63668430335097
