sim,ct,Length,TotalAbundance,SpeciesRichness,Simpson,Simpson_e
0924028
70,999,96.37402693094793,453,145,34.09353713241402,0.2351278422925105
0,999,77.44067519636624,77,39,15.399999999999999,0.39487179487179486
63,999,77.69705112502932,77,39,15.726790450928386,0.4032510372032919
119,999,92.39218762810587,461,114,20.249737970462125,0.17762928044265022
112,999,68.75285644366426,69,34,14.127596439169139,0.4155175423285041
28,999,86.45068711445595,245,71,23.82890035728464,0.3356183148913329
35,999,72.90274741120453,184,73,27.52520325203252,0.377057578794966
42,999,68.72700594236812,234,64,18.739219712525667,0.29280030800821355
105,999,54.18699619481911,54,23,11.129770992366412,0.4839030866246266
91,999,60.05017980589869,212,62,14.784210526315789,0.23845500848896434
21,999,52.436244040456366,106,46,17.501557632398754,0.3804686441825816
84,999,52.302049681574275,156,46,10.922800718132853,0.23745218952462724
126,999,55.25860636088376,168,59,13.90344827586207,0.23565166569257745
7,999,53.81541446869786,216,58,11.605970149253732,0.20010293360782297
14,999,75.69716718863451,367,91,18.347500340553058,0.2016208828632204
133,999,70.97543081743528,175,56,15.474987367357251,0.2763390601313795
49,999,65.04822279279573,229,60,12.781135754326103,0.2130189292387684
56,999,99.20959252712883,334,111,25.227498869289914,0.22727476458819743
98,999,86.6133624034426,368,93,17.37095946639302,0.1867845103913228
78,999,52.40906137501189,104,45,16.38787878787879,0.3641750841750842
1,999,70.8511002351287,174,55,13.875343721356554,0.25227897675193733
64,999,68.9549262716885,68,39,18.950819672131146,0.48591845313156784
71,999,59.27876374092696,268,65,15.353569901667377,0.23620876771795965
43,999,55.752728319488945,56,34,22.400000000000002,0.6588235294117648
113,999,92.59927463650442,269,88,26.81030011115228,0.3046625012630941
120,999,83.89777741042879,457,108,15.23000072923503,0.14101852527069472
29,999,93.18799927850415,273,93,26.068205666316896,0.28030328673459026
36,999,86.42535957978629,257,71,20.934706814580032,0.29485502555746523
92,999,94.29402497188129,454,129,25.61720109371116,0.1985829542148152
99,999,83.61392793153959,242,66,19.919727891156462,0.3018140589569161
22,999,60.42302686794213,122,47,10.70791366906475,0.22782795040563297
15,999,92.44088486342893,136,51,15.674576271186442,0.3073446327683616
2,999,71.7997451071002,71,43,19.92490118577075,0.4633697950179244
79,999,75.03340631701906,380,87,16.375595373100477,0.1882252341735687
85,999,81.0186907276628,326,87,16.27005511328843,0.18701212773894746
65,999,60.9322525073603,207,58,12.100818977689915,0.20863480996017095
72,999,55.33691011276554,56,29,10.31578947368421,0.35571687840290384
106,999,50.428239887418954,153,57,16.473610133708654,0.28901070410015184
114,999,57.58159835875733,171,58,11.06356413166856,0.19075110571842344
127,999,76.19166599773379,181,64,22.766504517025712,0.35572663307852675
44,999,91.74210743328247,130,45,13.020030816640984,0.2893340181475774
30,999,82.20717680341676,206,75,18.547202797202797,0.2472960372960373
50,999,74.73008227690107,74,37,14.113402061855668,0.3814432989690721
93,999,80.31771688882377,199,65,16.3437886917045,0.2514429029493
57,999,54.36748214510875,216,58,13.127743387732133,0.2263404032367609
8,999,93.67147013959081,589,143,16.030728709394204,0.11210299796779163
100,999,77.17024708954827,78,37,19.625806451612906,0.5304272013949434
37,999,97.22483014286534,639,180,45.83241665731283,0.25462453698507126
16,999,61.164553957676944,124,53,15.754098360655735,0.2972471388802969
3,999,77.53989512872877,297,85,18.574226152874292,0.21852030768087402
86,999,60.130347681444526,60,29,11.464968152866241,0.3953437294091807
134,999,90.57018131542924,517,127,17.450479858980216,0.13740535322031666
80,999,76.09578582501274,378,106,17.30668604651163,0.16327062308029838
66,999,57.71437890656379,57,29,13.261224489795918,0.457283603096411
73,999,82.13449578930395,325,93,19.076214556619107,0.20512058663031296
107,999,58.13524797225674,174,47,9.496863237139271,0.20206091993913342
121,999,55.566541400262224,165,61,15.691642651296831,0.25724004346388246
115,999,59.80461548699697,205,55,11.529492455418382,0.20962713555306148
23,999,75.86489419232946,368,90,16.141120381406438,0.1793457820156271
128,999,93.33185214251989,443,128,29.65830436753816,0.23170550287139188
94,999,85.96928931219793,504,120,15.062618595825427,0.12552182163187856
45,999,99.45057567378001,681,232,39.756622374624946,0.1713647516147627
31,999,64.30269108302578,229,57,12.61510704835218,0.22131766751495052
38,999,69.23865597583719,174,60,16.418655097613883,0.27364425162689804
17,999,64.73325013435549,290,67,17.993153615746685,0.2685545315783087
101,999,75.81993138512232,376,83,13.604311008468052,0.16390736154780786
51,999,83.78657077517761,323,95,22.1270413573701,0.23291622481442212
4,999,98.35149195068384,519,156,29.0478809446781,0.1862043650299878
87,999,82.81320926164784,330,94,20.782442748091604,0.22108981646905962
74,999,60.110114671512065,211,59,14.95498824319785,0.2534743770033534
67,999,77.29257149674893,383,89,16.03333697671877,0.1801498536709974
122,999,57.84959189458333,254,68,12.882587859424921,0.18944982146213118
9,999,50.518707694285,153,50,14.769085173501576,0.2953817034700315
116,999,68.75843166443894,169,54,15.964784795975405,0.2956441628884334
58,999,68.25527915113469,307,85,15.091913530824659,0.17755192389205482
81,999,67.77095589026183,299,66,13.14140820226371,0.1991122454888441
95,999,61.440174377845054,205,50,9.821219911194202,0.19642439822388405
129,999,78.52658125727034,397,103,15.746727944849637,0.15288085383349162
24,999,98.00086516679593,505,154,32.05039587784341,0.20811945375222993
46,999,89.19161754028752,250,79,25.324149108589946,0.3205588494758221
39,999,77.34445780726773,197,66,18.88515815085158,0.2861387598613876
102,999,79.88407924680315,115,35,12.802516940948692,0.3657861983128198
32,999,92.944463364652,572,146,32.76426997796916,0.2244128080682819
108,999,61.680556799180295,273,68,16.514292045202748,0.24285723595886394
75,999,78.44701100596228,79,40,19.81269841269841,0.49531746031746027
5,999,61.09965855448697,280,80,16.71641791044776,0.208955223880597
135,999,83.06644712249823,449,109,17.820295235569695,0.1634889471153183
18,999,82.51871208697958,329,88,16.05711318795431,0.18246719531766262
52,999,91.1555170354896,269,91,28.365738925911412,0.31171141676825725
88,999,82.37755246765117,107,42,12.038906414300738,0.2866406289119223
117,999,72.57055632407311,237,74,19.632645927997206,0.2653060260540163
123,999,84.82345927989309,373,109,26.28547137729076,0.24115111355312624
82,999,63.76128349006689,286,76,16.346123101518785,0.21508056712524717
59,999,96.20175577872126,320,99,26.52849740932642,0.2679646202962265
25,999,93.5062068313606,140,56,18.081180811808117,0.32287822878228783
130,999,57.08151345383703,114,44,12.377142857142855,0.28129870129870127
33,999,62.4255063718865,62,35,17.008849557522126,0.4859671302149179
40,999,70.38435140401431,248,66,16.22796833773087,0.24587830814743744
109,999,80.57302558250001,305,90,19.604847207586932,0.2178316356398548
76,999,65.54148998781777,165,58,17.09039548022599,0.29466199103837915
68,999,62.96857349742217,276,76,18.4,0.2421052631578947
96,999,60.734344450841334,61,30,15.064777327935223,0.5021592442645074
10,999,88.5660321633373,254,74,20.364898989898993,0.27520133770133776
47,999,55.67442359468248,220,66,14.604707302353653,0.22128344397505534
118,999,97.13257853466892,136,67,27.28023598820059,0.4071677013164267
6,999,94.64300757180008,442,125,27.446473728575445,0.21957178982860356
136,999,57.66079684498983,261,60,13.302284710017574,0.22170474516695957
103,999,71.60556028004513,342,85,14.085260115606937,0.1657089425365522
60,999,65.04366650233094,132,52,13.40307692307692,0.2577514792899408
124,999,55.30324529773664,168,49,15.714922048997774,0.3207126948775056
26,999,65.39674763124854,156,50,15.003699136868065,0.3000739827373613
53,999,92.33312036050668,281,90,24.514436510400497,0.27238262789333884
19,999,54.87668008747258,110,48,14.756097560975615,0.307418699186992
34,999,51.92808404407048,102,35,12.385714285714286,0.3538775510204082
89,999,74.9847160234417,371,94,14.913966843645031,0.15865922174090458
83,999,62.852121355257,211,59,15.2208547008547,0.2579805881500797
110,999,55.802943115254216,55,34,18.558282208588956,0.545831829664381
69,999,64.81245808362168,230,59,12.965686274509803,0.219757394483217
140,999,87.39527582481769,134,49,17.778217821782178,0.3628207718731057
41,999,62.54618118724701,62,29,16.15126050420168,0.5569400173862649
131,999,82.50768027358745,443,107,16.942847276180608,0.15834436706710847
97,999,91.84720621322619,397,118,24.99746233148295,0.2118429011142623
147,999,68.33477846988882,245,76,13.872197827594176,0.1825289187841339
48,999,50.87451354655763,50,27,11.46788990825688,0.42473666326877335
154,999,75.38618841836306,187,66,19.880045480386585,0.30121281030888764
61,999,91.22347379566409,557,154,41.32796057013454,0.26836338032554896
27,999,71.2860705259448,356,85,14.18580702932617,0.1668918474038373
168,999,79.88993752471646,193,64,19.781731279872545,0.3090895512480085
11,999,59.01348444383846,120,49,11.059907834101383,0.22571240477757923
137,999,97.19251040598229,461,151,37.997675666011084,0.2516402361987489
161,999,97.03368028420812,505,149,33.271363339856485,0.22329774053594956
90,999,57.652709938307346,262,60,11.03956256030878,0.1839927093384797
111,999,80.60850878088092,120,48,21.05263157894737,0.4385964912280702
125,999,75.3363005749785,182,57,14.401739130434782,0.25266209000762774
141,999,95.86927419758244,451,127,21.47165628628734,0.169068159734546
182,999,93.82835978501106,316,84,17.198759903548055,0.20474714170890543
20,999,79.40654005386371,415,93,21.482474741175,0.23099435205564517
175,999,90.10439232653852,140,55,23.277909738717337,0.4232347225221334
54,999,71.0091483570387,337,89,18.52977647250775,0.2081997356461545
104,999,57.396031217404236,116,43,16.862155388471177,0.39214314856909716
155,999,82.61631628986773,118,43,14.564853556485357,0.3387175245694269
148,999,78.77029261156174,383,107,18.058475932537238,0.16877080310782466
62,999,51.68773552116042,153,52,13.173325830050645,0.25333318903943547
132,999,89.04519493962331,258,76,15.323204419889501,0.20162111078801975
203,999,92.39500301600543,124,55,27.754512635379058,0.5046275024614374
189,999,71.13546178740563,349,83,18.036576336443066,0.21730814863184417
196,999,84.47546377477056,118,51,20.121387283236995,0.39453700555366655
169,999,83.47953897392074,446,116,18.576391483003363,0.16014130588796002
138,999,87.46711306593443,389,113,19.094132492113566,0.16897462382401385
224,999,74.07175170447299,75,35,13.489208633093526,0.3854059609455293
210,999,54.996210510988604,165,50,11.57033574160646,0.23140671483212918
162,999,66.05000412546275,301,82,18.478686518458083,0.22534983559095223
156,999,65.6809754301469,65,37,15.476190476190473,0.4182754182754182
176,999,67.87189056524548,67,34,14.62214983713355,0.430063230503928
55,999,54.6554143335929,108,43,12.59611231101512,0.29293284444221207
183,999,91.16766814299046,269,84,17.43218501565888,0.20752601209117716
231,999,89.074702041441,512,121,18.174154187465337,0.15019962138401105
204,999,96.52782777522987,314,99,26.001054852320674,0.2626369177002088
245,999,95.3426933337165,308,98,20.132427843803054,0.2054329371816638
217,999,55.18308431202432,165,51,9.747583243823845,0.19112908321223226
149,999,94.06537754883311,319,101,22.52844808501218,0.22305394143576415
142,999,95.10307624062541,314,90,20.968949383241174,0.2329883264804575
252,999,50.27066650039156,200,60,12.461059190031152,0.20768431983385255
197,999,93.39533770867169,311,92,22.239825247183262,0.24173723094764415
190,999,87.25639087359757,378,107,20.755955839628125,0.1939808956974591
170,999,52.63227087988991,159,52,13.86780032912781,0.2666884678678425
12,999,57.708142118983616,259,69,11.762405751358935,0.17046964857041935
225,999,64.60828394949323,291,71,13.784958489337459,0.1941543449202459
211,999,89.06840388890447,389,96,15.320542674901283,0.15958898619688835
157,999,89.87010323420378,126,53,20.096202531645577,0.37917363267255805
139,999,74.54811937618827,74,42,18.01315789473684,0.42888471177944854
238,999,53.266925164890424,216,59,11.407334963325184,0.1933446603953421
177,999,75.14155573661714,180,54,16.03960396039604,0.297029702970297
246,999,73.98246442168795,73,39,18.698245614035088,0.4794421952316689
232,999,66.3548163252234,292,76,15.931240657698057,0.2096215876012902
163,999,84.44819274303265,252,70,15.93975903614458,0.22771084337349398
205,999,98.01303526681966,485,158,33.162977583533056,0.2098922631869181
253,999,63.10299356196737,290,77,16.786427145708583,0.2180055473468647
259,999,84.51099540007513,121,47,23.80650406504065,0.5065213630859713
191,999,77.08048740995395,189,67,18.91000529380625,0.28223888498218286
198,999,80.49007939317089,325,88,13.532991672005124,0.1537839962727855
171,999,82.8873089210082,208,84,26.22060606060606,0.3121500721500721
150,999,95.42919692837252,136,57,15.56902356902357,0.27314076436883455
226,999,94.74786306438122,133,60,21.493317132442286,0.3582219522073714
184,999,53.42280166857879,159,49,12.509153884215737,0.255288854779913
218,999,66.7126845316327,156,47,12.86257928118393,0.2736718995996581
158,999,54.813467041507884,110,40,10.168067226890757,0.25420168067226895
212,999,61.64508170136682,61,31,11.664576802507838,0.37627667104863993
143,999,86.88774808253206,358,98,21.403473613894455,0.21840279197851484
266,999,53.983203218696225,162,54,15.117511520737331,0.27995391705069134
206,999,71.3662121441319,172,61,12.74074074074074,0.20886460230722526
247,999,68.30901623057304,305,79,14.834157231701484,0.18777414217343652
178,999,76.2298126330276,311,89,21.1782351653164,0.23795769848670115
164,999,67.8491365875028,67,32,12.165311653116532,0.38016598915989164
233,999,57.473456669061186,259,70,12.67832167832168,0.18111888111888114
254,999,75.60308969646756,281,68,15.890722479372107,0.23368709528488393
172,999,57.470092222804645,171,52,12.250104733975702,0.23557893719184042
199,999,82.73958473170728,114,45,16.367758186397985,0.363727959697733
13,999,88.885120528691,381,98,16.6794208893485,0.1701981723402908
227,999,56.37357275959562,57,27,10.866220735785953,0.4024526198439242
192,999,87.86498423958128,384,110,25.70711297071129,0.23370102700646628
185,999,56.52767746690415,56,26,14.933333333333334,0.5743589743589743
151,999,88.489715819872,133,51,15.42197035745423,0.30239157563635743
239,999,65.49156216630176,65,33,13.412698412698411,0.4064454064454064
159,999,89.44231875915898,521,119,24.692167743109252,0.20749720792528784
267,999,58.831518504692866,118,40,13.786138613861384,0.3446534653465346
213,999,60.92132686962206,278,64,10.144919926489889,0.15851437385140452
260,999,54.83058693283526,165,56,11.560509554140125,0.2064376706096451
207,999,75.14824302799616,296,79,13.567048621864355,0.1717347926818273
219,999,50.67467023554062,102,36,10.487903225806452,0.2913306451612903
144,999,54.667202899000365,216,61,10.517583408476106,0.17241940013895257
234,999,51.54836717350067,52,33,21.46031746031746,0.6503126503126503
248,999,84.59933094221967,341,99,19.370481425953688,0.19566142854498675
173,999,54.6628739776279,108,34,12.960000000000003,0.3811764705882354
165,999,91.31114444805445,128,58,22.14054054054054,0.38173345759552657
193,999,70.09943399007022,243,71,15.144652474993586,0.21330496443652938
200,999,97.38161284258351,510,162,31.172099712368166,0.19242036859486522
228,999,71.1905405734764,177,56,15.79878971255673,0.28212124486708445
152,999,97.43638869442233,142,61,28.005555555555553,0.4591074681238615
255,999,73.19682588429838,361,85,16.14682195514806,0.189962611237036
160,999,91.66964124003727,137,51,21.59838895281933,0.42349782260430063
186,999,77.13493296911562,186,65,23.31266846361186,0.3586564379017209
214,999,52.4122014118818,104,36,11.833698030634574,0.32871383418429373
179,999,97.52275232460693,326,111,32.20484848484848,0.2901337701337701
208,999,55.54532285955596,168,52,16.01816118047673,0.30804156116301407
249,999,75.8468300264109,75,33,15.080428954423589,0.4569826955885936
235,999,96.52940515853703,139,63,21.539576365663322,0.3418980375502115
174,999,73.0019366843996,182,56,14.50262697022767,0.25897548161120837
220,999,68.00761053091786,311,83,11.45847648382893,0.1380539335401076
273,999,53.63642846884,216,63,14.435643564356436,0.22913719943422914
261,999,90.04679619507414,129,44,12.830377794911334,0.29159949533889395
201,999,55.69522996602117,55,27,9.42367601246106,0.3490250374985578
256,999,52.28919008165486,52,23,11.457627118644067,0.4981577008106116
166,999,64.8869515104906,130,40,8.68448098663926,0.2171120246659815
229,999,54.85124997498374,110,38,8.97626112759644,0.23621739809464315
268,999,57.44891667191304,259,66,13.63157894736842,0.20653907496012758
280,999,56.66280744549246,114,46,15.771844660194176,0.3428661882650908
145,999,64.15209738332717,130,50,15.035587188612098,0.30071174377224197
187,999,71.00204958404721,357,82,18.651983023562124,0.22746320760441616
240,999,64.67532700575622,281,66,12.787206477732795,0.19374555269292112
153,999,57.38499264601128,256,69,14.874262369496142,0.21556901984777016
215,999,57.696079486738796,171,54,13.49377018920166,0.24988463313336406
209,999,92.16419118387122,438,119,20.762337662337664,0.17447342573392996
194,999,98.38492550281796,324,116,26.806945863125637,0.2310943608890141
250,999,60.738967143819394,216,62,14.285364360073485,0.2304091025818304
236,999,53.89329075251341,108,47,16.200000000000003,0.34468085106382984
180,999,78.13615499492836,187,64,19.83494044242768,0.3099209444129325
281,999,72.72198323406693,73,34,10.387914230019494,0.3055268891182204
202,999,61.210308999481335,273,69,15.465656775264575,0.22413995326470398
230,999,81.54999913028831,119,41,10.935135135135136,0.2667106130520765
167,999,94.9189524237459,310,97,13.611898016997166,0.14032884553605326
257,999,96.49132345390854,452,147,37.65278289716181,0.2561413802528015
216,999,51.77945174881497,51,25,9.322580645161288,0.3729032258064515
188,999,75.59888087365394,295,85,14.301561216105178,0.16825366136594327
221,999,77.32853670991734,77,37,13.204899777282852,0.35688918316980683
294,999,83.40126811072525,327,88,16.072298211333234,0.182639752401514
262,999,69.607647542026,173,57,13.647514819881442,0.23943008455932355
301,999,66.86399993061241,157,55,16.91763898421414,0.3075934360766207
146,999,74.90547176228287,368,79,16.288669713735867,0.20618569257893504
287,999,57.224261554283395,262,64,12.721275018532246,0.19876992216456635
269,999,62.915913531890226,62,29,12.48051948051948,0.43036274070756825
251,999,81.88056145764892,211,64,21.79197258932942,0.34049957170827216
237,999,99.39043285009635,684,226,31.463080026899796,0.13921716826061856
322,999,70.62871970753974,71,33,13.887052341597796,0.42081976792720593
315,999,80.83395789430168,193,69,15.19747042023664,0.2202531944961832
258,999,54.23135982073428,220,66,12.384851586489255,0.1876492664619584
274,999,64.12477041796163,225,66,17.319534724598014,0.2624171927969396
308,999,89.22314555082951,532,133,22.689113355780023,0.17059483726150393
282,999,68.42131432202294,175,60,15.350877192982457,0.25584795321637427
195,999,94.366383086805,321,99,19.827015585914953,0.20027288470621166
241,999,80.74737114884532,117,37,10.50575594781274,0.2839393499408848
329,999,78.69118309443125,195,68,20.927352779306545,0.3077551879309786
181,999,76.20115546873855,191,52,9.547500654278984,0.1836057818130574
263,999,78.66418929356743,195,67,18.09852451213708,0.270127231524434
295,999,81.10766686130978,117,46,13.7027027027027,0.29788484136310217
336,999,72.0199515815927,362,92,17.651400862068964,0.1918630528485757
302,999,81.8140606077704,325,78,15.63656550703183,0.20046878855169015
222,999,76.30142130420738,293,78,16.989709083712643,0.21781678312452107
288,999,77.66348323328083,310,83,14.24125666864256,0.1715814056462959
343,999,53.7528015106068,212,57,12.90011481056257,0.22631780369408017
357,999,86.16322493915035,126,48,14.727272727272728,0.3068181818181818
350,999,71.60655996766639,352,86,14.97510273144791,0.17412910152846406
316,999,91.52852068809494,252,85,24.072782410917366,0.28320920483432194
323,999,98.66942377100251,189,67,22.256074766355145,0.33218022039336037
371,999,83.53787592845731,231,69,17.432538386148316,0.25264548385722196
330,999,74.78907339147113,185,63,21.165739022881876,0.3359641114743155
296,999,65.23355648386475,65,26,10.03562945368171,0.38598574821852727
270,999,84.70624749279776,117,49,18.035573122529648,0.368072920867952
337,999,89.99533968226513,136,49,16.055555555555554,0.32766439909297046
309,999,89.39759640626158,255,87,20.955526909442472,0.24086812539589048
303,999,87.50742117136643,497,128,24.304732854472107,0.18988072542556333
223,999,90.7692725650227,391,107,23.47320743129126,0.21937577038589964
344,999,65.69429176159058,164,47,9.961481481481481,0.211946414499606
264,999,88.82329667539165,389,101,28.374460903806487,0.28093525647333156
364,999,71.26180719936751,248,75,15.9419388284085,0.21255918437878
289,999,86.35657617280144,498,128,20.932140445644833,0.16353234723160026
378,999,79.71620838560244,117,44,19.47226173541963,0.44255140307771884
351,999,50.563288519468436,153,52,11.28144578313253,0.21695088044485633
358,999,85.68062417489597,246,76,17.914742451154527,0.235720295409928
317,999,65.21751569986682,295,77,16.73879592229275,0.21738696002977595
275,999,71.86609898247487,353,91,16.746270662545356,0.18402495233566327
331,999,97.33359113410646,149,65,24.157780195865072,0.37165815685946263
324,999,53.01583567827037,108,48,17.203539823008853,0.35840707964601776
242,999,84.23432268858954,337,99,23.031636584871222,0.232642793786578
372,999,61.49268423296694,281,73,11.36292991797381,0.15565657421881932
