	simpson
10317.000012326	0.94023296
10317.000054127	0.9285056
10317.000030973	0.896672
10317.000069160	0.9221632
10317.000059092	0.6564851199999999
10317.000003303	0.96726912
10317.000028859	0.9599872
10317.000039876	0.7968563200000001
10317.000067710	0.88636544
10317.000003799	0.91474944
10317.000066634	0.88495872
10317.000001118	0.94940416
10317.000004980	0.5752512
10317.000022492	0.89677056
10317.000003432	0.77691776
10317.000018054	0.8368985600000001
10317.000065912	0.9572672
10317.000022155	0.91843456
10317.000004693	0.94962304
10317.000045016	0.89278976
10317.000069061	0.65066752
10317.000023880	0.84486912
10317.000001870	0.9478464
10317.000026102	0.88215552
10317.000022965	0.95178496
10317.000004815	0.916928
10317.000012069	0.62539392
10317.000047409	0.9231014399999999
10317.000001902	0.97546624
10317.000033048	0.9835712
10317.000027604	0.96977408
10317.000058982	0.95276928
10317.000014018	0.95007744
10317.000030365	0.8060748799999999
10317.000068292	0.92888192
10317.000001911	0.96039424
10317.000032753	0.96916352
10317.000062088	0.90726144
10317.000034183	0.84871296
10317.000030608	0.8794687999999999
10317.000012061	0.87329024
10317.000002883	0.90966016
10317.000059161	0.8595456
10317.000059045	0.98651392
10317.000063391	0.74722176
10317.000034257	0.9122112
10317.000065378	0.797408
10317.000026132	0.93340416
10317.000047692	0.90863872
10317.000003092	0.95746944
10317.000067792	0.95545344
10317.000026537	0.95339904
10317.000062144	0.92037504
10317.000005824	0.84480384
10317.000033796	0.8226803199999999
10317.000001565	0.89931008
10317.000001732	0.9601344
10317.000027229	0.92748544
10317.000029613	0.8928128
10317.000021688	0.86397568
10317.000023176	0.88370304
10317.000030323	0.86832
10317.000033698	0.9253465599999999
10317.000029335	0.97034624
10317.000027835	0.9506944
10317.000003002	0.80387328
10317.000066605	0.94909056
10317.000022959	0.9487808
10317.000001499	0.59481728
10317.000036430	0.92235392
10317.000050045	0.81449856
10317.000009198	0.87718144
10317.000067981	0.8054144
10317.000017316	0.89047936
10317.000023213	0.94690304
10317.000014357	0.90313088
10317.000012155	0.97817344
10317.000067586	0.94564736
10317.000014295	0.876896
10317.000065526	0.95236736
10317.000009142	0.76882944
10317.000031289	0.9523136
10317.000054161	0.88306688
10317.000001528	0.96931712
10317.000013510	0.9150592
10317.000011388	0.93205248
10317.000015455	0.94324608
10317.000002028	0.8758451199999999
10317.000043070	0.95341696
10317.000006752	0.95694208
10317.000022020	0.95172864
10317.000017627	0.930816
10317.000020675	0.90884224
10317.000010205	0.91088256
10317.000041745	0.9599168
10317.000002208	0.9546176
10317.000010880	0.96723328
10317.000068155	0.85638784
10317.000022645	0.84538368
10317.000023625	0.95749504
10317.000063064	0.94881536
10317.000012086	0.94444416
10317.000069780	0.90137344
10317.000001228	0.74909824
10317.000060344	0.9684928
10317.000058838	0.96567296
10317.000058827	0.91274112
10317.000033764	0.9041856
10317.000020598	0.93555712
10317.000026611	0.87545472
10317.000033173	0.87111168
10317.000022925	0.93699456
10317.000038275	0.96070656
10317.000022634	0.82294656
10317.000033729	0.95498496
10317.000006948	0.89672576
10317.000014164	0.93937408
10317.000031926	0.95830272
10317.000033745	0.94833536
10317.000001230	0.90884096
10317.000011359	0.94778752
10317.000053321	0.9730368
10317.000004596	0.89014656
10317.000069660	0.94811776
10317.000036069	0.91997696
10317.000047665	0.9754304
10317.000065509	0.97641984
10317.000010240	0.10999807999999978
10317.000065451	0.3938726399999999
10317.000005928	0.93147008
10317.000002807	0.97049216
10317.000063025	0.92402944
10317.000038078	0.97329664
10317.000012336	0.93718528
10317.000053483	0.97242368
10317.000002347	0.8896704
10317.000002475	0.85550464
10317.000017709	0.95315072
10317.000063069	0.850496
10317.000013299	0.93615232
10317.000026422	0.90983168
10317.000001549	0.9052441600000001
10317.000008988	0.91265792
10317.000065528	0.9508070399999999
10317.000033402	0.94667392
10317.000032729	0.9614464
10317.000030659	0.94422144
10317.000038402	0.93865216
10317.000013343	0.8292582399999999
10317.000026660	0.95287424
10317.000039970	0.94400384
10317.000031420	0.8831808
10317.000027574	0.9202214400000001
10317.000003507	0.85792256
10317.000021207	0.94704256
10317.000006078	0.94231424
10317.000052085	0.94141056
10317.000002446	0.79056768
10317.000049992	0.8994508800000001
10317.000011276	0.89882112
10317.000038215	0.9300953599999999
10317.000067646	0.8578048
10317.000029484	0.97016832
10317.000030432	0.92779904
10317.000027628	0.96564608
10317.000038129	0.89112064
10317.000038410	0.95023104
10317.000040131	0.87600768
10317.000060051	0.92399104
10317.000022947	0.9170368
10317.000051130	0.93262592
10317.000012248	0.9677888
10317.000033781	0.89128704
10317.000026127	0.93087616
10317.000017712	0.97223552
10317.000001048	0.96593792
10317.000017399	0.89264
10317.000058562	0.91157632
10317.000009368	0.89406976
10317.000069695	0.80536704
10317.000028460	0.94898432
10317.000038028	0.96615808
10317.000017404	0.58244736
10317.000003093	0.73266432
10317.000032704	0.9356288
10317.000012299	0.95677184
10317.000033186	0.65577472
10317.000018414	0.79663872
10317.000029322	0.96163456
10317.000003086	0.96161408
10317.000036856	0.91523968
10317.000009080	0.9293619200000001
10317.000028804	0.97382144
10317.000047762	0.94743424
10317.000066611	0.95381248
10317.000052370	0.91001856
10317.000003009	0.95073408
10317.000031379	0.92868224
10317.000006805	0.93503872
10317.000014293	0.938368
10317.000033738	0.93485056
10317.000035263	0.86178048
10317.000068256	0.9388672
10317.000038336	0.9422067199999999
10317.000011335	0.93734016
10317.000041703	0.93819648
10317.000001685	0.9097024
10317.000013174	0.77264768
10317.000050296	0.97542528
10317.000006839	0.83257088
10317.000050155	0.9537664
10317.000003063	0.95193344
10317.000022976	0.92493952
10317.000038418	0.23167872
10317.000058769	0.88614656
10317.000009495	0.9137587199999999
10317.000054253	0.9514176
10317.000005981	0.96569728
10317.000036394	0.92754816
10317.000023680	0.9345664
10317.000052329	0.78654592
10317.000017094	0.9377574399999999
10317.000011086	0.95690368
10317.000031864	0.93318656
10317.000047143	0.84551168
10317.000036160	0.8154752000000001
10317.000031269	0.98077696
10317.000011247	0.95698688
10317.000028714	0.93758208
10317.000052028	0.92117632
10317.000015867	0.8002214400000001
10317.000021983	0.9155289600000001
10317.000001248	0.8435750399999999
10317.000047376	0.9763904
10317.000001580	0.92678784
10317.000053381	0.96682368
10317.000005733	0.92964864
10317.000053486	0.8620185600000001
10317.000022676	0.96637184
10317.000022558	0.95372288
10317.000009197	0.89698048
10317.000065978	0.93249408
10317.000065341	0.93375232
10317.000050217	0.95463296
10317.000041251	0.95043072
10317.000031894	0.90022784
10317.000010843	0.95363584
10317.000020592	0.85434624
10317.000027638	0.94934016
10317.000031791	0.94946944
10317.000001658	0.6793663999999999
10317.000023256	0.9235584
10317.000067869	0.93374976
10317.000065662	0.93857792
10317.000004800	0.93380864
10317.000027637	0.97014528
10317.000032804	0.97340416
10317.000004190	0.83819776
10317.000011080	0.96799104
10317.000067634	0.93768704
10317.000044542	0.8847577600000001
10317.000014222	0.93841664
10317.000002387	0.9223308800000001
10317.000010807A	0.949504
10317.000026094	0.93979392
10317.000038283	0.8623552
10317.000008976	0.89749376
10317.000027271	0.76686208
10317.000038416	0.95000448
10317.000031291	0.96810624
10317.000068402	0.92803968
10317.000031203	0.95486848
10317.000009105	0.92224768
10317.000013166	0.83095936
10317.000067721	0.976192
10317.000033789	0.84776192
10317.000027648	0.8360896
10317.000054120	0.78205056
10317.000052260	0.95663616
10317.000028805	0.95715456
10317.000032707	0.9627584
10317.000032676	0.92961024
10317.000035775	0.87969536
10317.000031519	0.94228224
10317.000028703	0.93181824
10317.000020644	0.96875776
10317.000016493	0.96671232
10317.000026493	0.84273536
10317.000030114	0.9508032
10317.000066601	0.93364864
10317.000045004	0.94833536
10317.000029347	0.89597696
10317.000026580	0.79161216
10317.000065394	0.82093824
10317.000014364	0.94607232
10317.000023273	0.6870425600000001
10317.000013079	0.94284416
10317.000047427	0.95879936
10317.000009022	0.94752768
10317.000042777	0.97081984
10317.000006899	0.97156224
10317.000022274	0.9519616
10317.000059010	0.5326809600000001
10317.000063021	0.6937548800000001
10317.000032789	0.87652992
10317.000054139	0.9150272
10317.000002781	0.7083200000000001
10317.000031146	0.84852864
10317.000059889	0.68189696
10317.000048321	0.97459712
10317.000038009	0.91729408
10317.000028431	0.74414848
10317.000010121	0.95962368
10317.000018439	0.92582784
10317.000066721	0.75547264
10317.000029343	0.96250368
10317.000037504	0.62573696
10317.000067794	0.82782592
10317.000042029	0.95039104
10317.000051561	0.90664832
10317.000029573	0.95171968
10317.000038355	0.96246656
10317.000012001	0.95418368
10317.000031310	0.90140032
10317.000002389	0.87590912
10317.000027847	0.83672704
10317.000027606	0.830752
10317.000021674	0.92919296
10317.000033207	0.6458278399999999
10317.000027354	0.81679488
10317.000040406	0.89934848
10317.000017084	0.92615552
10317.000033479	0.95895808
10317.000048314	0.92760704
10317.000031501	0.95126528
10317.000039658	0.8910604799999999
10317.000001150	0.93413632
10317.000063578	0.93919616
10317.000006946	0.9579289599999999
10317.000015901	0.9237632
10317.000043014	0.92990848
10317.000035277	0.97853952
10317.000033666	0.91057792
10317.000036398	0.9506739200000001
10317.000023925	0.9534848
10317.000013081	0.88121856
10317.000028962	0.85892352
10317.000003490	0.96107904
10317.000038298	0.967104
10317.000029181	0.95756928
10317.000022668	0.94404224
10317.000020388	0.97882112
10317.000032634	0.9760832
10317.000003593	0.95377024
10317.000030250	0.94402048
10317.000023026	0.94681472
10317.000069316	0.883552
10317.000010303	0.88631808
10317.000031516	0.8388659199999999
10317.000047501	0.85773952
10317.000067489	0.97271808
10317.000021531	0.93410432
10317.000029342	0.97599232
10317.000015922	0.91873408
10317.000036461	0.94448
10317.000039847	0.95718144
10317.000036870	0.91288832
10317.000034258	0.96945792
10317.000009541	0.9308864
10317.000002529	0.93987456
10317.000023203	0.47645311999999995
10317.000021986	0.91172224
10317.000014565	0.88802816
10317.000033410	0.96292096
10317.000033591	0.94718208
10317.000028558	0.97200384
10317.000050269	0.96254848
10317.000059197	0.95304192
10317.000020392	0.91112704
10317.000027331	0.94110464
10317.000053359	0.96454784
10317.000029424	0.93482752
10317.000069417	0.78968576
10317.000001948	0.89059072
10317.000014533	0.91016064
10317.000051197	0.97789824
