	simpson
22001612560009|GFM-1079-007	0.9823063220180789
22001612560012|GFM-1079-011	0.9659985413496414
22001612560014|GFM-1079-016	0.9636392784834309
22001612560015|GFM-1079-015	0.9468613536947845
22001612560016|GFM-1079-001	0.984005465899376
22001612560017|GFM-1079-009	0.9753609172271068
22001612560020|GFM-1079-003	0.9159112571339032
22001612560022|GFM-1079-006	0.9858650062534015
22001612560023|GFM-1079-001	0.9724465029859664
22001612560027|GFM-1079-003	0.9780123213014978
22001612560029|GFM-1079-014	0.9815780566335032
22001612560030|GFM-1079-007	0.9713106479990338
22001612560031|GFM-1079-012	0.9897250236854805
22001612560033|GFM-1079-001	0.7380473539617356
22001612560040|GFM-1079-011	0.9829153578312539
22001612560041|GFM-1079-011	0.9881774677316599
22001612560042|GFM-1079-006	0.9635874816810618
22001612560044|GFM-1079-020	0.9825668398032213
22001612560045|GFM-1079-021	0.9599840410888493
22001612560049|GFM-1079-008	0.980028444997417
22001612560051|GFM-1079-007	0.9786293668196661
22001612560054|GFM-1079-002	0.9733573619512566
22001612560056|GFM-1079-018	0.9639183932697942
22001612560057|GFM-1079-037	0.9672691127577884
22001612560058|GFM-1079-023	0.9841871008717802
22001612560061|GFM-1079-020	0.9754661298147693
22001612560062|GFM-1079-001	0.9726071870411878
22001612560065|GFM-1079-001	0.9783772741364511
22001612560066|GFM-1079-013	0.9800603773053551
22001612560067|GFM-1079-001	0.9216330836263422
22001612560068|GFM-1079-008	0.9823942690049516
22001612560069|GFM-1079-006	0.9780682614220084
22001612560072|GFM-1079-001	0.9668785863833556
22001612560073|GFM-1079-015	0.9663185674084497
22001612560076|GFM-1079-006	0.9776615132647238
22001612560081|GFM-1079-010	0.959780997197514
22001612560083|GFM-1079-003	0.9792158220815307
22001612560084|GFM-1079-008	0.955163487478597
22001612560085|GFM-1079-011	0.9781632488543606
22001612560086|GFM-1079-001	0.9876215281676747
22001612560087|GFM-1079-001	0.9718431975202465
22001612560088|GFM-1079-008	0.9857361692964905
22001612560092|GFM-1079-011	0.9778631085923902
22001612560093|GFM-1079-015	0.9862731497183377
22001612560094|GFM-1079-003	0.9647652704559704
22001612560095|GFM-1079-003	0.9702410115439394
22001612560096|GFM-1079-001	0.9689826357637408
22001612560097|GFM-1079-008	0.9853857766566511
22001612560098|GFM-1079-001	0.9767878376506717
22001612560099|GFM-1079-003	0.9840811213974694
22001612560100|GFM-1079-002	0.9795465312973977
22001612560101|GFM-1079-003	0.8912338140517908
22001612560104|GFM-1079-003	0.9581207621624135
22001612560107|GFM-1079-014	0.9581215290490618
22001612560109|GFM-1079-001	0.9797021879845915
22001612560113|GFM-1079-003	0.9809941257068558
22001612560115|GFM-1079-001	0.9531583558246365
22001612560121|GFM-1079-012	0.9641334730210263
22001612560122|GFM-1079-026	0.9890144925546464
22001612560126|GFM-1079-011	0.9837119932907643
22001612560127|GFM-1079-010	0.9836315021463053
22001612560131|GFM-1079-004	0.9795067703549251
22001612560132|GFM-1079-013	0.9836199029857502
22001612560133|GFM-1079-017	0.9803970192415428
