,SampleID,simpson,body_mass_kg,dataset,inv_simpson
0,Armadillo,0.992108592948646,1.2,Groussin et al,126.72011385199231
1,BaboonSTL,0.9592352173381352,18.0,Groussin et al,24.5309783274153
2,BigHornSD,0.996773058406894,67.13,Groussin et al,309.89095127609085
3,BlackBr2,0.4654083341444365,175.0,Groussin et al,1.8705865876146692
4,BlackLemur,0.8687648026274742,2.04,Groussin et al,7.619907006817602
5,BlackRhino1,0.9923332060525744,986.575,Groussin et al,130.43261718749858
6,BushDog1,0.9609847038476224,5.5,Groussin et al,25.630972941853695
7,Capybara,0.9946517124253472,55.0,Groussin et al,186.9757349509992
8,Chimp1,0.9970950038558584,61.065,Groussin et al,344.23453608248366
9,Colobus,0.9916918108558008,10.28125,Groussin et al,120.36317212376007
10,Gazelle3,0.9978699190644116,12.75,Groussin et al,469.465729349743
11,Giraffe2,0.9970687989937332,1175.0,Groussin et al,341.15708812259913
12,GorillaSTL,0.9797236759681448,150.9875,Groussin et al,49.3186042217981
13,Horse1,0.9977788259722628,250.0,Groussin et al,450.21235955055636
14,Hyena2,0.9900284260361528,62.37,Groussin et al,100.28507070454354
15,HyraxSTL,0.9955089857720076,0.93,Groussin et al,222.66685190330253
16,Kroo3,0.997595391937388,44.841,Groussin et al,415.8681888946807
17,Lion1,0.9200514613578112,84.0,Groussin et al,12.508046012892361
18,Okapi2,0.997953525053096,250.0,Groussin et al,488.6451219512047
19,Orang1,0.99606053572721,54.22904,Groussin et al,253.84162179284792
20,PolarBr2,0.910250842923065,258.285,Groussin et al,11.14216592745019
21,RTLemur,0.9954515846454484,2.8,Groussin et al,219.85679012346387
22,Rabbit,0.9823978197554712,1.894333333,Groussin et al,56.81114419396017
23,Saki,0.991399813820694,1.75,Groussin et al,116.27655252466792
24,SpecBr2,0.7719790161446908,104.25,Groussin et al,4.385561289545835
25,SpgbkW,0.998130719835084,39.0,Groussin et al,534.9652870493644
26,Squirrel,0.6465775202214183,0.415666667,Groussin et al,2.8294747991879228
27,Urial2,0.998307914617072,61.0,Groussin et al,590.9867256636923
28,VWPig,0.9877086718128024,30.0,Groussin et al,81.3581725888323
29,ZebraSTL1,0.9804287115443648,385.8,Groussin et al,51.09525631216528
0,X11212.AC673,0.9742819133986622,5.8624600000000004,Song et al,38.883141483316365
1,X11212.AC674,0.9729940860845976,5.8624600000000004,Song et al,37.02892644672414
2,X11212.AC679,0.9727535454401118,5.8624600000000004,Song et al,36.70202292933134
3,X11212.AC680,0.9742144610368928,5.8624600000000004,Song et al,38.78142711815159
4,X11212.AC683,0.9752930676919952,5.8624600000000004,Song et al,40.47447038481624
