,SampleID,simpson,body_mass_kg,dataset,inv_simpson
0,Armadillo,0.9911252866936702,1.2,Groussin et al,112.67969628796423
1,BaboonSTL,0.9543636086840416,18.0,Groussin et al,21.912337307229496
2,BigHornSD,0.9967917761655548,67.13,Groussin et al,311.69894982496874
3,BlackBr2,0.4654133255467458,175.0,Groussin et al,1.870604053164522
4,BlackLemur,0.8709011228159496,2.04,Groussin et al,7.7460007539364195
5,BlackRhino1,0.990150715392736,986.575,Groussin et al,101.53021664766261
6,BushDog1,0.9612542395723368,5.5,Groussin et al,25.80927536231894
7,Capybara,0.9940315306883892,55.0,Groussin et al,167.54714614258782
8,Chimp1,0.9968990913152096,61.065,Groussin et al,322.4861167002058
9,Colobus,0.9916918108558008,10.28125,Groussin et al,120.36317212376007
10,Gazelle3,0.9973745223851916,12.75,Groussin et al,380.88307984792823
11,Giraffe2,0.9968766300048169,1175.0,Groussin et al,320.166999600495
12,GorillaSTL,0.9794142090249544,150.9875,Groussin et al,48.57719585379121
13,Horse1,0.9978424663517091,250.0,Groussin et al,463.49219201850013
14,Hyena2,0.9913399169929796,62.37,Groussin et al,115.47233429394863
15,HyraxSTL,0.9952806291163472,0.93,Groussin et al,211.8926493918602
16,Kroo3,0.9975804177304592,44.841,Groussin et al,413.29448169158707
17,Lion1,0.9203484497952276,84.0,Groussin et al,12.554683461014216
18,Okapi2,0.9978873889724948,250.0,Groussin et al,473.34790313053105
19,Orang1,0.9960006388994956,54.22904,Groussin et al,250.03993759750512
20,PolarBr2,0.911513667707374,258.285,Groussin et al,11.301180352836644
21,RTLemur,0.9955713783008768,2.8,Groussin et al,225.80388841927765
22,Rabbit,0.9835533293901256,1.894333333,Groussin et al,60.8025796661613
23,Saki,0.9916082048671164,1.75,Groussin et al,119.16401486988897
24,SpecBr2,0.7738121086428627,104.25,Groussin et al,4.421103154549767
25,SpgbkW,0.9984039991115304,39.0,Groussin et al,626.5660672400505
26,Squirrel,0.6277898819283783,0.415666667,Groussin et al,2.686654530459532
27,Urial2,0.99825176134109,61.0,Groussin et al,572.0042826552386
28,VWPig,0.9881703765264332,30.0,Groussin et al,84.53354430379767
29,ZebraSTL1,0.9816366309032692,385.8,Groussin et al,54.45623810818195
0,X11212.AC673,0.9732913498262904,5.8624600000000004,Song et al,37.44105349750472
1,X11212.AC674,0.972535488916216,5.8624600000000004,Song et al,36.41062449462042
2,X11212.AC679,0.9723701320153167,5.8624600000000004,Song et al,36.19271726359151
3,X11212.AC680,0.973232575546152,5.8624600000000004,Song et al,37.35884271287225
4,X11212.AC683,0.9756820035323736,5.8624600000000004,Song et al,41.12180875308783
5,X11212.AC684,0.970616843959217,5.8624600000000004,Song et al,34.03310381675909
6,X11212.AC685,0.9777282162893508,5.8624600000000004,Song et al,44.89986132192244
7,X11212.AC691,0.9765996712190436,5.8624600000000004,Song et al,42.73444229611919
8,X11212.AC693,0.9784107868554676,5.8624600000000004,Song et al,46.319427822836346
9,X11212.AC711,0.968026199917361,5.8624600000000004,Song et al,31.275606822317545
10,X11212.Ptr15,0.9774138330593491,42.5,Song et al,44.274887484347246
11,X11212.Ptr16,0.983343802912877,42.5,Song et al,60.037714177452195
12,X11212.Ptr17,0.97947748087124,42.5,Song et al,48.72696152582027
13,X11212.Ptr3,0.9795225280040708,42.5,Song et al,48.834152975464654
14,X11212.Ptr4,0.8662629912361237,42.5,Song et al,7.477361795683516
15,X11212.Ptr5,0.984422251784677,42.5,Song et al,64.19413038248715
16,X11212.Ptr6,0.9642834222014912,42.5,Song et al,27.998203121289837
17,X11212.Ptr9,0.984128222600683,42.5,Song et al,63.00491588566712
18,X11212.JB35,0.9676827845597205,17.04983,Song et al,30.943260004809066
19,X11212.JB8,0.97509820531355,17.04983,Song et al,40.157748170019886
20,X11212.APF108,0.9671358287420035,7.00003,Song et al,30.42827376201314
21,X11212.APF109,0.9283320234032084,7.00003,Song et al,13.953233333571855
22,X11212.APF110,0.9791793493213838,7.00003,Song et al,48.02923863599756
23,X11212.APF113,0.9429476484864144,7.00003,Song et al,17.527761318687723
24,X11212.APF115,0.9562855443869084,7.00003,Song et al,22.875728085254245
25,X11212.APF116,0.9259662205672508,7.00003,Song et al,13.507347695363565
26,X11212.APX.37,0.9820274957127318,7.00003,Song et al,55.640548696845045
27,X11212.APX19,0.9794407173617844,7.00003,Song et al,48.63982939468907
28,X11212.APX21,0.9791615198082144,7.00003,Song et al,47.98814456700133
29,X11212.APX38,0.9829839780917884,7.00003,Song et al,58.76814248325685
30,X11212.JB19,0.9872472040305744,21.250049999999998,Song et al,78.41417696930681
31,X11212.JB26,0.9754600813175694,21.250049999999998,Song et al,40.7499312830223
32,X11212.BWC2339,0.9828810244869824,10.6,Song et al,58.41471057888852
33,X11212.BWC2341,0.9835852902571768,10.6,Song et al,60.920967575269884
34,X11212.BWC2342,0.9818038378816014,10.6,Song et al,54.9566437962693
35,X11212.Apalw10,0.975355313204786,7.27495,Song et al,40.576697456516214
36,X11212.Apalw19,0.9841020305724872,7.27495,Song et al,62.901114797051804
37,X11212.Apalw20,0.9857113413651608,7.27495,Song et al,69.985575662208
38,X11212.Apalw23,0.9671910528978382,7.27495,Song et al,30.479490758608062
39,X11212.Apalw8,0.9517230035234984,7.27495,Song et al,20.7137989722857
40,X11212.Apalw9,0.9760566599838864,7.27495,Song et al,41.76526747425419
41,X11212.JB30,0.9765053956958688,17.72856,Song et al,42.56296411956017
42,X11212.JB31,0.9827825677062942,17.72856,Song et al,58.080669808446046
43,X11212.JB4,0.9899364626364208,17.72856,Song et al,99.36863787271083
44,X11212.ERUB.108M,0.9707717871621588,1.4,Song et al,34.21351847778119
45,X11212.ERUB.13M,0.967677183252486,1.4,Song et al,30.937897764646728
46,X11212.ERUB.14M,0.9679320032858372,1.4,Song et al,31.18373775928292
47,X11212.ERUB.21M,0.9682433886330936,1.4,Song et al,31.489505868440983
48,X11212.ERUB.33M,0.9320721976945888,1.4,Song et al,14.72151263637068
49,X11212.ERUB.4M,0.9658472125114268,1.4,Song et al,29.28018687594911
50,X11212.ERUB.76M,0.9326196268622128,1.4,Song et al,14.841116981573904
51,X11212.ERUB.79M,0.954901942608296,1.4,Song et al,22.173904106653474
52,X11212.ERUB.98M,0.9536158509105576,1.4,Song et al,21.55908903431003
53,X11212.RT2050,0.9838618054946062,3.55,Song et al,61.96480031677495
54,X11212.RT2135,0.98133332807389,3.55,Song et al,53.571413477367
55,X11212.Lc155,0.9707093838660656,2.9,Song et al,34.14062699901556
56,X11212.Lc172,0.9722704129682096,2.9,Song et al,36.06256374656992
57,X11212.Lc23,0.9589889245983182,2.9,Song et al,24.383657102515077
58,X11212.Lc268,0.9528157317841642,2.9,Song et al,21.193504483860675
59,X11212.Lc316,0.9610634594580736,2.9,Song et al,25.68281583524894
60,X11212.Lc318,0.8957650764410793,2.9,Song et al,9.593713564098614
61,X11212.Lc331,0.95754339287352,2.9,Song et al,23.55346005442587
62,X11212.Lc336,0.9721618580561688,2.9,Song et al,35.92193767880391
63,X11212.Asen1013,0.9751156403684634,6.14554,Song et al,40.18588441925084
64,X11212.Asen1019,0.9754559000600562,6.14554,Song et al,40.74298924983479
65,X11212.Asen1118,0.9739130160376864,6.14554,Song et al,38.333293010976085
66,X11212.AsenLink5,0.9601039791962716,6.14554,Song et al,25.065156370345232
67,X11212.Gor4,0.9788765631641074,131.62552,Song et al,47.34078113182878
68,X11212.Gor5,0.930396539023262,131.62552,Song et al,14.36710166372629
69,X11212.Gor6,0.9573528695358904,131.62552,Song et al,23.44823647259377
70,X11212.Gor7,0.9796003940637976,131.62552,Song et al,49.02055476597904
71,X11212.Gor8,0.9726100415265928,131.62552,Song et al,36.509730417112394
72,X11212.Gor9,0.9823570261397624,131.62552,Song et al,56.67978697478682
73,X11212.RC2137,0.9686563864270858,8.430399999999999,Song et al,31.90442600607348
74,X11212.RC2138,0.9731065855791978,8.430399999999999,Song et al,37.18382442455859
75,X11212.RC2141,0.9791419546787188,8.430399999999999,Song et al,47.943131036335025
